通道一计数表：,,
ID,计数时长(s),计数
354,0.5,2271
355,0.5,2236
356,0.5,2256
357,0.5,2179
358,0.5,2283
359,0.5,2226
360,0.5,2180
361,0.5,2333
362,0.5,2225
363,0.5,2220
364,0.5,2195
365,0.5,2172
366,0.5,2225
367,0.5,2157
368,0.5,2181
369,0.5,2263
370,0.5,2144
371,0.5,2221
372,0.5,2177
373,0.5,2193
374,0.5,2124
375,0.5,2213
376,0.5,2134
377,0.5,2090
378,0.5,2075
379,0.5,2205
380,0.5,2111
381,0.5,2063
382,0.5,2059
383,0.5,2187
384,0.5,2188
385,0.5,2046
386,0.5,2129
387,0.5,2280
388,0.5,2186
389,0.5,2063
390,0.5,2069
391,0.5,2062
392,0.5,2154
393,0.5,2100
394,0.5,2106
395,0.5,2128
396,0.5,2095
397,0.5,2115
398,0.5,2060
399,0.5,2116
400,0.5,2013
401,0.5,2084
402,0.5,2089
403,0.5,2090
404,0.5,2141
405,0.5,2090
406,0.5,2059
407,0.5,2126
408,0.5,2051
409,0.5,2051
410,0.5,2009
411,0.5,2020
412,0.5,2003
413,0.5,2048
414,0.5,2020
415,0.5,2011
416,0.5,2068
417,0.5,2095
418,0.5,1996
419,0.5,2072
420,0.5,2062
421,0.5,2018
422,0.5,1988
423,0.5,2034
424,0.5,2033
425,0.5,1971
426,0.5,2004
427,0.5,1999
428,0.5,1981
429,0.5,2015
430,0.5,1892
431,0.5,2018
432,0.5,1984
433,0.5,2016
434,0.5,2040
435,0.5,1922
436,0.5,1970
437,0.5,2006
438,0.5,1989
439,0.5,2007
440,0.5,1960
441,0.5,1930
442,0.5,1997
443,0.5,1984
444,0.5,1941
445,0.5,1918
446,0.5,1851
447,0.5,1899
448,0.5,1986
449,0.5,1922
450,0.5,1878
451,0.5,1924
452,0.5,1943
453,0.5,1915
454,0.5,1892
455,0.5,1941
456,0.5,1872
457,0.5,1934
458,0.5,1920
459,0.5,1947
460,0.5,1955
461,0.5,1917
462,0.5,1877
463,0.5,1908
464,0.5,1876
465,0.5,1855
466,0.5,1923
467,0.5,1837
468,0.5,1854
469,0.5,1849
470,0.5,1926
471,0.5,1837
