通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,1229,1229
2,1,1332,1332
3,1,1269,1269
4,1,1299,1299
5,1,1268,1268
6,1,1305,1305
7,1,1317,1317
8,1,1276,1276
9,1,1292,1292
10,1,1217,1217
11,1,1235,1235
12,1,1279,1279
13,1,1262,1262
14,1,1253,1253
15,1,1233,1233
16,1,1266,1266
17,1,1236,1236
18,1,1222,1222
19,1,1241,1241
20,1,1282,1282
21,1,1239,1239
22,1,1234,1234
23,1,1233,1233
24,1,1284,1284
25,1,1327,1327
26,1,1225,1225
27,1,1286,1286
28,1,1237,1237
29,1,1224,1224
30,1,1268,1268
31,1,1225,1225
32,1,1290,1290
33,1,1298,1298
34,1,1211,1211
35,1,1263,1263
36,1,1215,1215
37,1,1311,1311
38,1,1220,1220
39,1,1284,1284
40,1,1302,1302
41,1,1277,1277
42,1,1300,1300
43,1,1284,1284
44,1,1276,1276
45,1,1301,1301
46,1,1262,1262
47,1,1261,1261
48,1,1283,1283
49,1,1268,1268
50,1,1255,1255
51,1,1230,1230
52,1,1268,1268
53,1,1325,1325
54,1,1223,1223
55,1,1288,1288
56,1,1244,1244
57,1,1246,1246
58,1,1350,1350
59,1,1298,1298
60,1,1277,1277
61,1,1219,1219
62,1,1276,1276
63,1,1221,1221
64,1,1247,1247
65,1,1237,1237
66,1,1272,1272
67,1,1272,1272
68,1,1194,1194
69,1,1309,1309
70,1,1229,1229
71,1,1214,1214
72,1,1247,1247
73,1,1296,1296
74,1,1217,1217
75,1,1288,1288
76,1,1248,1248
77,1,1246,1246
78,1,1333,1333
79,1,1248,1248
80,1,1318,1318
81,1,1261,1261
82,1,1300,1300
83,1,1220,1220
84,1,1306,1306
85,1,1300,1300
86,1,1284,1284
87,1,1321,1321
88,1,1217,1217
89,1,1266,1266
90,1,1227,1227
91,1,1268,1268
92,1,1227,1227
93,1,1350,1350
94,1,1221,1221
95,1,1261,1261
96,1,1218,1218
97,1,1236,1236
98,1,1244,1244
99,1,1168,1168
100,1,1242,1242
101,1,1256,1256
102,1,1272,1272
103,1,1269,1269
104,1,1280,1280
105,1,1231,1231
106,1,1285,1285
107,1,1324,1324
108,1,1284,1284
109,1,1252,1252
110,1,1350,1350
111,1,1305,1305
112,1,1252,1252
113,1,1255,1255
114,1,1246,1246
115,1,1178,1178
116,1,1241,1241
117,1,1250,1250
118,1,1317,1317
119,1,1263,1263
120,1,1199,1199
121,1,1295,1295
122,1,1261,1261
123,1,1251,1251
124,1,1255,1255
125,1,1212,1212
126,1,1267,1267
127,1,1275,1275
128,1,1247,1247
129,1,1317,1317
130,1,1274,1274
131,1,1292,1292
132,1,1290,1290
133,1,1238,1238
134,1,1279,1279
135,1,1298,1298
136,1,1251,1251
137,1,1313,1313
138,1,1211,1211
139,1,1286,1286
140,1,1301,1301
141,1,1244,1244
142,1,1281,1281
143,1,1239,1239
144,1,1324,1324
145,1,1234,1234
146,1,1303,1303
147,1,1214,1214
148,1,1298,1298
149,1,1251,1251
150,1,1286,1286
151,1,1295,1295
152,1,1240,1240
153,1,1331,1331
154,1,1260,1260
155,1,1202,1202
156,1,1231,1231
157,1,1238,1238
158,1,1229,1229
159,1,1246,1246
160,1,1312,1312
161,1,1213,1213
162,1,1263,1263
163,1,1324,1324
164,1,1285,1285
165,1,1234,1234
166,1,1216,1216
167,1,1259,1259
168,1,1254,1254
169,1,1292,1292
170,1,1288,1288
171,1,1266,1266
172,1,1250,1250
173,1,1268,1268
174,1,1303,1303
175,1,1260,1260
176,1,1278,1278
177,1,1263,1263
178,1,1254,1254
179,1,1290,1290
180,1,1316,1316
181,1,1249,1249
182,1,1244,1244
183,1,1282,1282
184,1,1273,1273
185,1,1214,1214
186,1,1197,1197
187,1,1252,1252
188,1,1322,1322
189,1,1243,1243
190,1,1229,1229
191,1,1195,1195
192,1,1270,1270
193,1,1298,1298
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,2.5,3174,1269.6
2,2.5,3123,1249.2
3,2.5,3062,1224.8
4,2.5,3168,1267.2
