通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,1118,1118
2,1,1135,1135
3,1,1097,1097
4,1,1167,1167
5,1,1150,1150
6,1,1151,1151
7,1,1140,1140
8,1,1130,1130
9,1,1134,1134
10,1,1104,1104
11,1,1102,1102
12,1,1122,1122
13,1,1166,1166
14,1,1153,1153
15,1,1132,1132
16,1,1117,1117
17,1,1139,1139
18,1,1166,1166
19,1,1144,1144
20,1,1171,1171
21,1,1117,1117
22,1,1122,1122
23,1,1148,1148
24,1,1098,1098
25,1,1118,1118
26,1,1128,1128
27,1,1129,1129
28,1,1123,1123
29,1,1132,1132
30,1,1116,1116
31,1,1144,1144
32,1,1231,1231
33,1,1107,1107
34,1,1145,1145
35,1,1163,1163
36,1,1159,1159
37,1,1058,1058
38,1,1142,1142
39,1,1134,1134
40,1,1157,1157
41,1,1165,1165
42,1,1178,1178
43,1,1155,1155
44,1,1175,1175
45,1,1044,1044
46,1,1183,1183
47,1,1153,1153
48,1,1134,1134
49,1,1125,1125
50,1,1111,1111
51,1,1126,1126
52,1,1203,1203
53,1,1098,1098
54,1,1170,1170
55,1,1085,1085
56,1,1138,1138
57,1,1159,1159
58,1,1086,1086
59,1,1159,1159
60,1,1163,1163
61,1,1150,1150
62,1,1116,1116
63,1,1150,1150
64,1,1119,1119
65,1,1071,1071
66,1,1129,1129
67,1,1151,1151
68,1,1061,1061
69,1,1146,1146
70,1,1132,1132
71,1,1120,1120
72,1,1101,1101
73,1,1172,1172
74,1,1129,1129
75,1,1110,1110
76,1,1114,1114
77,1,1136,1136
78,1,1191,1191
79,1,1188,1188
80,1,1123,1123
81,1,1086,1086
82,1,1125,1125
83,1,1099,1099
84,1,1173,1173
85,1,1116,1116
86,1,1134,1134
87,1,1153,1153
88,1,1173,1173
89,1,1146,1146
90,1,1128,1128
91,1,1136,1136
92,1,1134,1134
93,1,1128,1128
94,1,1079,1079
95,1,1117,1117
96,1,1113,1113
97,1,1162,1162
98,1,1075,1075
99,1,1084,1084
100,1,1106,1106
101,1,1082,1082
102,1,1174,1174
103,1,1121,1121
104,1,1100,1100
105,1,1157,1157
106,1,1072,1072
107,1,1136,1136
108,1,1130,1130
109,1,1157,1157
110,1,1104,1104
111,1,1108,1108
112,1,1195,1195
113,1,1173,1173
114,1,1164,1164
115,1,1100,1100
116,1,1147,1147
117,1,1148,1148
118,1,1206,1206
119,1,1125,1125
120,1,1139,1139
121,1,1126,1126
122,1,1128,1128
123,1,1144,1144
124,1,1145,1145
125,1,1108,1108
126,1,1099,1099
127,1,1106,1106
128,1,1117,1117
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,2.5,2724,1089.6
2,2.5,2866,1146.4
3,2.5,2856,1142.4
4,2.5,2843,1137.2
5,2.5,2749,1099.6
6,2.5,2865,1146
7,2.5,2787,1114.8
8,2.5,2805,1122
9,2.5,2794,1117.6
10,2.5,2862,1144.8
11,2.5,2803,1121.2
12,2.5,2883,1153.2
13,2.5,2816,1126.4
14,2.5,2812,1124.8
15,2.5,2955,1182
16,2.5,2854,1141.6
17,2.5,2862,1144.8
18,2.5,2859,1143.6
19,2.5,2781,1112.4
20,2.5,2795,1118
21,2.5,2782,1112.8
22,2.5,2795,1118
23,2.5,2777,1110.8
24,2.5,2863,1145.2
25,2.5,2907,1162.8
26,2.5,2814,1125.6
27,2.5,2851,1140.4
28,2.5,2750,1100
29,2.5,2833,1133.2
30,2.5,2922,1168.8
31,2.5,2844,1137.6
32,2.5,2755,1102
33,2.5,2767,1106.8
34,2.5,2847,1138.8
35,2.5,2875,1150
36,2.5,2880,1152
37,2.5,2817,1126.8
38,2.5,2865,1146
39,2.5,2767,1106.8
40,2.5,2826,1130.4
41,2.5,2888,1155.2
42,2.5,2808,1123.2
43,2.5,2817,1126.8
44,2.5,2826,1130.4
45,2.5,2851,1140.4
46,2.5,2766,1106.4
47,2.5,2887,1154.8
48,2.5,2836,1134.4
49,2.5,2854,1141.6
50,2.5,2806,1122.4
51,2.5,2768,1107.2
52,2.5,2895,1158
,,平均计数率,1131.615385
