通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,0.5,5909,11818
2,0.5,5712,11424
3,0.5,5799,11598
4,0.5,5780,11560
5,0.5,5722,11444
6,0.5,5899,11798
7,0.5,5632,11264
8,0.5,5809,11618
9,0.5,5822,11644
10,0.5,5846,11692
11,0.5,5723,11446
12,0.5,5843,11686
13,0.5,5848,11696
14,0.5,5896,11792
15,0.5,5868,11736
16,0.5,5926,11852
17,0.5,5840,11680
18,0.5,5911,11822
19,0.5,5769,11538
20,0.5,5922,11844
21,0.5,5872,11744
22,0.5,5854,11708
23,0.5,5718,11436
24,0.5,5991,11982
25,0.5,5874,11748
26,0.5,5927,11854
27,0.5,5840,11680
28,0.5,5848,11696
29,0.5,5660,11320
30,0.5,5856,11712
31,0.5,5951,11902
32,0.5,5946,11892
33,0.5,5823,11646
34,0.5,5794,11588
35,0.5,5734,11468
36,0.5,5775,11550
37,0.5,5903,11806
38,0.5,5873,11746
39,0.5,5760,11520
40,0.5,5716,11432
41,0.5,5828,11656
42,0.5,5890,11780
43,0.5,5920,11840
44,0.5,5710,11420
45,0.5,5717,11434
46,0.5,5881,11762
47,0.5,5766,11532
48,0.5,5786,11572
49,0.5,5904,11808
50,0.5,5842,11684
51,0.5,5979,11958
52,0.5,5899,11798
53,0.5,5813,11626
54,0.5,5883,11766
55,0.5,5793,11586
56,0.5,5871,11742
57,0.5,5792,11584
58,0.5,5805,11610
59,0.5,5907,11814
60,0.5,5944,11888
61,0.5,5752,11504
62,0.5,5692,11384
63,0.5,5762,11524
64,0.5,5924,11848
65,0.5,5785,11570
66,0.5,5907,11814
67,0.5,5757,11514
68,0.5,5857,11714
69,0.5,5875,11750
70,0.5,5802,11604
71,0.5,5836,11672
72,0.5,5771,11542
73,0.5,5785,11570
74,0.5,5799,11598
75,0.5,5848,11696
76,0.5,5861,11722
77,0.5,5885,11770
78,0.5,5727,11454
79,0.5,5760,11520
80,0.5,5847,11694
81,0.5,5749,11498
82,0.5,5846,11692
83,0.5,5918,11836
84,0.5,5853,11706
85,0.5,5815,11630
86,0.5,5753,11506
87,0.5,5685,11370
88,0.5,5865,11730
89,0.5,5927,11854
90,0.5,5872,11744
91,0.5,6041,12082
92,0.5,5833,11666
93,0.5,5776,11552
94,0.5,5713,11426
95,0.5,5783,11566
96,0.5,5846,11692
97,0.5,5838,11676
98,0.5,5802,11604
99,0.5,6019,12038
100,0.5,5809,11618
101,0.5,5795,11590
102,0.5,5801,11602
103,0.5,5935,11870
104,0.5,5846,11692
105,0.5,5859,11718
106,0.5,5923,11846
107,0.5,5817,11634
108,0.5,5834,11668
109,0.5,5808,11616
110,0.5,5813,11626
111,0.5,5948,11896
112,0.5,5745,11490
113,0.5,5800,11600
114,0.5,5814,11628
115,0.5,5982,11964
116,0.5,5742,11484
117,0.5,5810,11620
118,0.5,5982,11964
119,0.5,5922,11844
120,0.5,5847,11694
121,0.5,5745,11490
122,0.5,5931,11862
123,0.5,5984,11968
124,0.5,5725,11450
125,0.5,5880,11760
126,0.5,5884,11768
127,0.5,5728,11456
128,0.5,5845,11690
129,0.5,5911,11822
130,0.5,5726,11452
131,0.5,5716,11432
132,0.5,5786,11572
133,0.5,5747,11494
134,0.5,5794,11588
135,0.5,5881,11762
136,0.5,5844,11688
137,0.5,5727,11454
138,0.5,5958,11916
139,0.5,5827,11654
140,0.5,5976,11952
141,0.5,5951,11902
142,0.5,5979,11958
143,0.5,5728,11456
144,0.5,5773,11546
145,0.5,5879,11758
146,0.5,5782,11564
147,0.5,5799,11598
148,0.5,5864,11728
149,0.5,5673,11346
150,0.5,5937,11874
151,0.5,5969,11938
152,0.5,5777,11554
153,0.5,5863,11726
154,0.5,5788,11576
155,0.5,5824,11648
156,0.5,5824,11648
157,0.5,5860,11720
158,0.5,5822,11644
159,0.5,5647,11294
160,0.5,5869,11738
161,0.5,5957,11914
162,0.5,5810,11620
163,0.5,5836,11672
164,0.5,5651,11302
165,0.5,5724,11448
166,0.5,5815,11630
167,0.5,5789,11578
168,0.5,5708,11416
169,0.5,5821,11642
170,0.5,5734,11468
171,0.5,5847,11694
172,0.5,5899,11798
173,0.5,5783,11566
174,0.5,5798,11596
175,0.5,5831,11662
176,0.5,5930,11860
177,0.5,5801,11602
178,0.5,5783,11566
179,0.5,5717,11434
180,0.5,5723,11446
