通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,1055,1055
2,1,998,998
3,1,1039,1039
4,1,1070,1070
5,1,1056,1056
6,1,1023,1023
7,1,1058,1058
8,1,1037,1037
9,1,1040,1040
10,1,1084,1084
11,1,1063,1063
12,1,1071,1071
13,1,1043,1043
14,1,1098,1098
15,1,1068,1068
16,1,1112,1112
17,1,1075,1075
18,1,1056,1056
19,1,1119,1119
20,1,1009,1009
21,1,1080,1080
22,1,1019,1019
23,1,1103,1103
24,1,1093,1093
25,1,1101,1101
26,1,1069,1069
27,1,1040,1040
28,1,1085,1085
29,1,1073,1073
30,1,1084,1084
31,1,1075,1075
32,1,1109,1109
33,1,1106,1106
34,1,1081,1081
35,1,1061,1061
36,1,1080,1080
37,1,1084,1084
38,1,1128,1128
39,1,987,987
40,1,1142,1142
41,1,1040,1040
42,1,1126,1126
43,1,1066,1066
44,1,1075,1075
45,1,1086,1086
46,1,1003,1003
47,1,1117,1117
48,1,1015,1015
49,1,1007,1007
50,1,1087,1087
51,1,1139,1139
52,1,1156,1156
53,1,1096,1096
54,1,1121,1121
55,1,1071,1071
56,1,1081,1081
57,1,1142,1142
58,1,1050,1050
59,1,1111,1111
60,1,1105,1105
61,1,1075,1075
62,1,1090,1090
63,1,1144,1144
64,1,1080,1080
65,1,1042,1042
66,1,1110,1110
67,1,1058,1058
68,1,1020,1020
69,1,1090,1090
70,1,1128,1128
71,1,1094,1094
72,1,1114,1114
73,1,1078,1078
74,1,1100,1100
75,1,1096,1096
76,1,1091,1091
77,1,1068,1068
78,1,1138,1138
79,1,1113,1113
80,1,1039,1039
81,1,1074,1074
82,1,1068,1068
83,1,1044,1044
84,1,1129,1129
85,1,1071,1071
86,1,1083,1083
87,1,1092,1092
88,1,1031,1031
89,1,1071,1071
90,1,1159,1159
91,1,1047,1047
92,1,1084,1084
93,1,1074,1074
94,1,1053,1053
95,1,1100,1100
96,1,1042,1042
97,1,1143,1143
98,1,1084,1084
99,1,1057,1057
100,1,1052,1052
101,1,1054,1054
102,1,1043,1043
103,1,1079,1079
104,1,1086,1086
105,1,1106,1106
106,1,1106,1106
107,1,1043,1043
108,1,1168,1168
109,1,1084,1084
110,1,998,998
111,1,1101,1101
112,1,1099,1099
113,1,1087,1087
114,1,1056,1056
115,1,1116,1116
116,1,1104,1104
117,1,1115,1115
118,1,1074,1074
119,1,1119,1119
120,1,1193,1193
121,1,1072,1072
122,1,1130,1130
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,2.5,2677,1070.8
2,2.5,2827,1130.8
3,2.5,2681,1072.4
4,2.5,2694,1077.6
5,2.5,2643,1057.2
6,2.5,2750,1100
7,2.5,2671,1068.4
8,2.5,2747,1098.8
9,2.5,2655,1062
10,2.5,2715,1086
11,2.5,2734,1093.6
12,2.5,2703,1081.2
13,2.5,2743,1097.2
14,2.5,2650,1060
15,2.5,2727,1090.8
16,2.5,2744,1097.6
17,2.5,2661,1064.4
18,2.5,2656,1062.4
19,2.5,2655,1062
20,2.5,2720,1088
21,2.5,2703,1081.2
22,2.5,2718,1087.2
23,2.5,2725,1090
24,2.5,2785,1114
25,2.5,2770,1108
26,2.5,2780,1112
27,2.5,2723,1089.2
28,2.5,2693,1077.2
29,2.5,2720,1088
30,2.5,2711,1084.4
31,2.5,2660,1064
32,2.5,2635,1054
33,2.5,2612,1044.8
34,2.5,2692,1076.8
35,2.5,2716,1086.4
36,2.5,2774,1109.6
37,2.5,2565,1026
38,2.5,2792,1116.8
39,2.5,2734,1093.6
40,2.5,2771,1108.4
41,2.5,2770,1108
42,2.5,2612,1044.8
43,2.5,2832,1132.8
44,2.5,2745,1098
45,2.5,2728,1091.2
46,2.5,2745,1098
47,2.5,2687,1074.8
48,2.5,2741,1096.4
49,2.5,2656,1062.4
,,平均计数率,1084.473469
