通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,716,716
2,1,761,761
3,1,739,739
4,1,760,760
5,1,730,730
6,1,739,739
7,1,762,762
8,1,768,768
9,1,718,718
10,1,730,730
11,1,669,669
12,1,733,733
13,1,741,741
14,1,761,761
15,1,808,808
16,1,711,711
17,1,720,720
18,1,711,711
19,1,801,801
20,1,760,760
21,1,751,751
22,1,742,742
23,1,742,742
24,1,702,702
25,1,728,728
26,1,724,724
27,1,779,779
28,1,751,751
29,1,795,795
30,1,699,699
31,1,780,780
32,1,781,781
33,1,745,745
34,1,802,802
35,1,745,745
36,1,761,761
37,1,728,728
38,1,718,718
39,1,733,733
40,1,711,711
41,1,745,745
42,1,730,730
43,1,735,735
44,1,717,717
45,1,757,757
46,1,759,759
47,1,812,812
48,1,787,787
49,1,726,726
50,1,751,751
51,1,704,704
52,1,714,714
53,1,776,776
54,1,741,741
55,1,771,771
56,1,743,743
57,1,716,716
58,1,774,774
59,1,753,753
60,1,733,733
61,1,755,755
62,1,742,742
63,1,717,717
64,1,715,715
65,1,755,755
66,1,728,728
67,1,718,718
68,1,763,763
69,1,769,769
70,1,747,747
71,1,758,758
72,1,755,755
73,1,691,691
74,1,707,707
75,1,745,745
76,1,759,759
77,1,733,733
78,1,771,771
79,1,735,735
80,1,756,756
81,1,751,751
82,1,739,739
83,1,721,721
84,1,772,772
85,1,769,769
86,1,738,738
87,1,760,760
88,1,714,714
89,1,732,732
90,1,750,750
91,1,722,722
92,1,722,722
93,1,750,750
94,1,744,744
95,1,733,733
96,1,764,764
97,1,741,741
98,1,817,817
99,1,724,724
100,1,738,738
101,1,759,759
102,1,770,770
103,1,752,752
104,1,737,737
105,1,722,722
106,1,727,727
107,1,694,694
108,1,741,741
109,1,778,778
110,1,689,689
111,1,757,757
112,1,734,734
113,1,733,733
114,1,769,769
115,1,804,804
116,1,777,777
117,1,752,752
118,1,802,802
119,1,777,777
120,1,774,774
121,1,686,686
122,1,717,717
123,1,726,726
124,1,762,762
125,1,775,775
126,1,773,773
127,1,719,719
128,1,750,750
129,1,746,746
130,1,745,745
131,1,743,743
132,1,731,731
133,1,723,723
134,1,735,735
135,1,727,727
136,1,737,737
137,1,783,783
138,1,725,725
139,1,730,730
140,1,716,716
141,1,714,714
142,1,732,732
143,1,762,762
144,1,762,762
145,1,715,715
146,1,739,739
147,1,759,759
148,1,742,742
149,1,728,728
150,1,751,751
151,1,759,759
152,1,759,759
153,1,798,798
154,1,739,739
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,3.5,2643,755.1428571
2,3.5,2604,744
3,3.5,2535,724.2857143
4,3.5,2591,740.2857143
5,3.5,2633,752.2857143
6,3.5,2578,736.5714286
7,3.5,2668,762.2857143
8,3.5,2704,772.5714286
9,3.5,2584,738.2857143
10,3.5,2557,730.5714286
11,3.5,2632,752
12,3.5,2659,759.7142857
13,3.5,2612,746.2857143
14,3.5,2674,764
15,3.5,2622,749.1428571
16,3.5,2610,745.7142857
17,3.5,2583,738
18,3.5,2603,743.7142857
19,3.5,2582,737.7142857
20,3.5,2619,748.2857143
21,3.5,2605,744.2857143
22,3.5,2604,744
23,3.5,2498,713.7142857
24,3.5,2604,744
25,3.5,2614,746.8571429
26,3.5,2640,754.2857143
27,3.5,2633,752.2857143
28,3.5,2598,742.2857143
29,3.5,2612,746.2857143
30,3.5,2613,746.5714286
31,3.5,2530,722.8571429
32,3.5,2641,754.5714286
33,3.5,2653,758
34,3.5,2682,766.2857143
35,3.5,2673,763.7142857
36,3.5,2538,725.1428571
37,3.5,2614,746.8571429
38,3.5,2650,757.1428571
39,3.5,2607,744.8571429
40,3.5,2586,738.8571429
41,3.5,2581,737.4285714
42,3.5,2540,725.7142857
43,3.5,2596,741.7142857
44,3.5,2661,760.2857143
,,平均计数率,745.8831169
