通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,893,893
2,1,944,944
3,1,921,921
4,1,887,887
5,1,874,874
6,1,905,905
7,1,940,940
8,1,941,941
9,1,862,862
10,1,895,895
11,1,937,937
12,1,857,857
13,1,902,902
14,1,913,913
15,1,861,861
16,1,904,904
17,1,900,900
18,1,939,939
19,1,923,923
20,1,920,920
21,1,982,982
22,1,958,958
23,1,958,958
24,1,888,888
25,1,889,889
26,1,922,922
27,1,900,900
28,1,905,905
29,1,967,967
30,1,963,963
31,1,934,934
32,1,880,880
33,1,970,970
34,1,932,932
35,1,943,943
36,1,985,985
37,1,941,941
38,1,900,900
39,1,889,889
40,1,905,905
41,1,897,897
42,1,928,928
43,1,910,910
44,1,860,860
45,1,929,929
46,1,995,995
47,1,920,920
48,1,901,901
49,1,932,932
50,1,914,914
51,1,920,920
52,1,901,901
53,1,907,907
54,1,922,922
55,1,898,898
56,1,925,925
57,1,973,973
58,1,930,930
59,1,904,904
60,1,902,902
61,1,954,954
62,1,877,877
63,1,956,956
64,1,860,860
65,1,927,927
66,1,928,928
67,1,922,922
68,1,899,899
69,1,906,906
70,1,928,928
71,1,903,903
72,1,954,954
73,1,889,889
74,1,944,944
75,1,849,849
76,1,948,948
77,1,933,933
78,1,911,911
79,1,840,840
80,1,956,956
81,1,907,907
82,1,948,948
83,1,904,904
84,1,893,893
85,1,901,901
86,1,910,910
87,1,907,907
88,1,892,892
89,1,941,941
90,1,976,976
91,1,894,894
92,1,903,903
93,1,917,917
94,1,922,922
95,1,884,884
96,1,889,889
97,1,917,917
98,1,883,883
99,1,946,946
100,1,919,919
101,1,913,913
102,1,918,918
103,1,945,945
104,1,899,899
105,1,884,884
106,1,911,911
107,1,902,902
108,1,938,938
109,1,935,935
110,1,873,873
111,1,901,901
112,1,913,913
113,1,896,896
114,1,901,901
115,1,938,938
116,1,877,877
117,1,933,933
118,1,929,929
119,1,889,889
120,1,866,866
121,1,887,887
122,1,873,873
123,1,903,903
124,1,928,928
125,1,917,917
126,1,900,900
127,1,888,888
128,1,919,919
129,1,882,882
130,1,949,949
131,1,955,955
132,1,885,885
133,1,853,853
134,1,882,882
135,1,935,935
136,1,863,863
137,1,916,916
138,1,910,910
139,1,879,879
140,1,905,905
141,1,957,957
142,1,897,897
143,1,883,883
144,1,892,892
145,1,895,895
146,1,863,863
147,1,856,856
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,3,2718,906
2,3,2728,909.3333333
3,3,2711,903.6666667
4,3,2671,890.3333333
5,3,2736,912
6,3,2658,886
7,3,2751,917
8,3,2731,910.3333333
9,3,2696,898.6666667
10,3,2721,907
11,3,2649,883
12,3,2721,907
13,3,2802,934
14,3,2784,928
15,3,2777,925.6666667
16,3,2852,950.6666667
17,3,2822,940.6666667
18,3,2768,922.6666667
19,3,2656,885.3333333
20,3,2736,912
21,3,2847,949
22,3,2806,935.3333333
23,3,2760,920
24,3,2659,886.3333333
25,3,2642,880.6666667
26,3,2721,907
27,3,2768,922.6666667
28,3,2690,896.6666667
29,3,2646,882
30,3,2775,925
31,3,2735,911.6666667
32,3,2821,940.3333333
33,3,2722,907.3333333
34,3,2770,923.3333333
35,3,2796,932
36,3,2677,892.3333333
37,3,2699,899.6666667
38,3,2705,901.6666667
39,3,2765,921.6666667
40,3,2794,931.3333333
41,3,2701,900.3333333
42,3,2767,922.3333333
43,3,2733,911
44,3,2750,916.6666667
45,3,2704,901.3333333
46,3,2661,887
47,3,2710,903.3333333
48,3,2829,943
49,3,2673,891
,,平均计数率,911.6598639
