通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,790,790
2,1,735,735
3,1,765,765
4,1,765,765
5,1,741,741
6,1,731,731
7,1,796,796
8,1,797,797
9,1,781,781
10,1,835,835
11,1,746,746
12,1,781,781
13,1,757,757
14,1,756,756
15,1,745,745
16,1,799,799
17,1,816,816
18,1,805,805
19,1,756,756
20,1,764,764
21,1,755,755
22,1,739,739
23,1,742,742
24,1,750,750
25,1,738,738
26,1,766,766
27,1,784,784
28,1,789,789
29,1,748,748
30,1,756,756
31,1,788,788
32,1,783,783
33,1,760,760
34,1,768,768
35,1,758,758
36,1,782,782
37,1,810,810
38,1,728,728
39,1,767,767
40,1,810,810
41,1,751,751
42,1,781,781
43,1,792,792
44,1,810,810
45,1,751,751
46,1,744,744
47,1,768,768
48,1,740,740
49,1,759,759
50,1,749,749
51,1,774,774
52,1,714,714
53,1,749,749
54,1,753,753
55,1,782,782
56,1,767,767
57,1,816,816
58,1,807,807
59,1,784,784
60,1,743,743
61,1,764,764
62,1,787,787
63,1,712,712
64,1,698,698
65,1,778,778
66,1,822,822
67,1,751,751
68,1,771,771
69,1,765,765
70,1,785,785
71,1,812,812
72,1,709,709
73,1,793,793
74,1,778,778
75,1,791,791
76,1,777,777
77,1,805,805
78,1,804,804
79,1,729,729
80,1,803,803
81,1,783,783
82,1,781,781
83,1,761,761
84,1,797,797
85,1,735,735
86,1,764,764
87,1,810,810
88,1,749,749
89,1,760,760
90,1,816,816
91,1,773,773
92,1,717,717
93,1,755,755
94,1,777,777
95,1,786,786
96,1,780,780
97,1,807,807
98,1,782,782
99,1,813,813
100,1,798,798
101,1,778,778
102,1,779,779
103,1,767,767
104,1,745,745
105,1,799,799
106,1,807,807
107,1,783,783
108,1,808,808
109,1,742,742
110,1,773,773
111,1,731,731
112,1,765,765
113,1,794,794
114,1,791,791
115,1,784,784
116,1,782,782
117,1,812,812
118,1,799,799
119,1,763,763
120,1,756,756
121,1,768,768
122,1,798,798
123,1,797,797
124,1,792,792
125,1,777,777
126,1,749,749
127,1,789,789
128,1,734,734
129,1,786,786
130,1,786,786
131,1,783,783
132,1,747,747
133,1,762,762
134,1,806,806
135,1,726,726
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,3,2390,796.6666667
2,3,2397,799
3,3,2290,763.3333333
4,3,2357,785.6666667
5,3,2294,764.6666667
6,3,2417,805.6666667
7,3,2264,754.6666667
8,3,2215,738.3333333
9,3,2312,770.6666667
10,3,2405,801.6666667
11,3,2337,779
12,3,2294,764.6666667
13,3,2319,773
14,3,2320,773.3333333
15,3,2382,794
16,3,2286,762
17,3,2290,763.3333333
18,3,2348,782.6666667
19,3,2315,771.6666667
20,3,2369,789.6666667
21,3,2305,768.3333333
22,3,2290,763.3333333
23,3,2299,766.3333333
24,3,2304,768
25,3,2325,775
26,3,2447,815.6666667
27,3,2271,757
28,3,2357,785.6666667
29,3,2283,761
30,3,2390,796.6666667
31,3,2286,762
32,3,2338,779.3333333
33,3,2338,779.3333333
34,3,2347,782.3333333
35,3,2368,789.3333333
36,3,2317,772.3333333
37,3,2423,807.6666667
38,3,2370,790
39,3,2332,777.3333333
40,3,2331,777
41,3,2282,760.6666667
42,3,2309,769.6666667
43,3,2280,760
44,3,2346,782
45,3,2389,796.3333333
,,平均计数率,777.2444444
