通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,3560,3560
2,1,3552,3552
3,1,3617,3617
4,1,3634,3634
5,1,3440,3440
6,1,3545,3545
7,1,3575,3575
8,1,3518,3518
9,1,3531,3531
10,1,3538,3538
11,1,3594,3594
12,1,3501,3501
13,1,3599,3599
14,1,3578,3578
15,1,3566,3566
16,1,3630,3630
17,1,3551,3551
18,1,3593,3593
19,1,3678,3678
20,1,3645,3645
21,1,3456,3456
22,1,3560,3560
23,1,3557,3557
24,1,3724,3724
25,1,3672,3672
26,1,3513,3513
27,1,3483,3483
28,1,3579,3579
29,1,3488,3488
30,1,3605,3605
31,1,3531,3531
32,1,3571,3571
33,1,3519,3519
34,1,3504,3504
35,1,3612,3612
36,1,3533,3533
37,1,3561,3561
38,1,3548,3548
39,1,3618,3618
40,1,3580,3580
41,1,3606,3606
42,1,3634,3634
43,1,3558,3558
44,1,3529,3529
45,1,3649,3649
46,1,3633,3633
47,1,3512,3512
48,1,3572,3572
49,1,3495,3495
50,1,3581,3581
51,1,3524,3524
52,1,3558,3558
53,1,3567,3567
54,1,3523,3523
55,1,3640,3640
56,1,3504,3504
57,1,3748,3748
58,1,3602,3602
59,1,3662,3662
60,1,3599,3599
61,1,3569,3569
62,1,3649,3649
63,1,3547,3547
64,1,3591,3591
65,1,3637,3637
66,1,3583,3583
67,1,3508,3508
68,1,3555,3555
69,1,3527,3527
70,1,3609,3609
71,1,3606,3606
72,1,3585,3585
73,1,3598,3598
74,1,3706,3706
75,1,3595,3595
76,1,3448,3448
77,1,3614,3614
78,1,3526,3526
79,1,3620,3620
80,1,3549,3549
81,1,3516,3516
82,1,3617,3617
83,1,3680,3680
84,1,3588,3588
85,1,3563,3563
86,1,3483,3483
87,1,3520,3520
88,1,3681,3681
89,1,3650,3650
90,1,3542,3542
91,1,3577,3577
92,1,3692,3692
93,1,3515,3515
94,1,3586,3586
95,1,3484,3484
96,1,3615,3615
97,1,3493,3493
98,1,3630,3630
99,1,3623,3623
100,1,3653,3653
101,1,3614,3614
102,1,3615,3615
103,1,3595,3595
104,1,3644,3644
105,1,3569,3569
106,1,3527,3527
107,1,3647,3647
108,1,3523,3523
109,1,3542,3542
110,1,3604,3604
111,1,3596,3596
112,1,3601,3601
113,1,3569,3569
114,1,3615,3615
115,1,3479,3479
116,1,3605,3605
117,1,3576,3576
118,1,3618,3618
119,1,3520,3520
120,1,3584,3584
121,1,3617,3617
122,1,3590,3590
123,1,3659,3659
124,1,3674,3674
125,1,3636,3636
126,1,3577,3577
127,1,3562,3562
128,1,3534,3534
129,1,3544,3544
130,1,3577,3577
131,1,3576,3576
132,1,3617,3617
133,1,3599,3599
134,1,3596,3596
135,1,3606,3606
136,1,3661,3661
137,1,3637,3637
138,1,3576,3576
139,1,3572,3572
140,1,3583,3583
141,1,3593,3593
142,1,3641,3641
143,1,3603,3603
144,1,3558,3558
145,1,3551,3551
146,1,3583,3583
147,1,3548,3548
148,1,3573,3573
149,1,3571,3571
150,1,3561,3561
151,1,3652,3652
152,1,3436,3436
153,1,3555,3555
154,1,3574,3574
155,1,3583,3583
156,1,3590,3590
157,1,3509,3509
158,1,3505,3505
159,1,3550,3550
160,1,3599,3599
161,1,3736,3736
162,1,3558,3558
163,1,3621,3621
164,1,3474,3474
165,1,3596,3596
166,1,3483,3483
167,1,3582,3582
168,1,3519,3519
169,1,3603,3603
170,1,3541,3541
171,1,3575,3575
172,1,3609,3609
173,1,3600,3600
174,1,3588,3588
175,1,3545,3545
176,1,3609,3609
177,1,3599,3599
178,1,3425,3425
179,1,3631,3631
180,1,3609,3609
181,1,3471,3471
182,1,3459,3459
183,1,3667,3667
184,1,3635,3635
185,1,3549,3549
186,1,3527,3527
187,1,3533,3533
188,1,3480,3480
189,1,3596,3596
190,1,3653,3653
191,1,3553,3553
192,1,3511,3511
193,1,3524,3524
194,1,3614,3614
195,1,3630,3630
196,1,3538,3538
197,1,3562,3562
198,1,3619,3619
199,1,3594,3594
200,1,3592,3592
201,1,3684,3684
202,1,3605,3605
203,1,3457,3457
204,1,3562,3562
205,1,3505,3505
206,1,3710,3710
207,1,3556,3556
208,1,3614,3614
209,1,3541,3541
210,1,3572,3572
211,1,3594,3594
212,1,3626,3626
213,1,3560,3560
214,1,3684,3684
215,1,3544,3544
216,1,3539,3539
217,1,3574,3574
218,1,3603,3603
219,1,3700,3700
220,1,3617,3617
221,1,3474,3474
222,1,3529,3529
223,1,3513,3513
224,1,3593,3593
225,1,3538,3538
226,1,3427,3427
227,1,3587,3587
228,1,3646,3646
229,1,3580,3580
230,1,3613,3613
231,1,3543,3543
232,1,3651,3651
233,1,3544,3544
234,1,3585,3585
235,1,3456,3456
236,1,3586,3586
237,1,3653,3653
238,1,3607,3607
239,1,3598,3598
240,1,3521,3521
241,1,3633,3633
242,1,3500,3500
243,1,3592,3592
244,1,3619,3619
245,1,3561,3561
246,1,3646,3646
247,1,3448,3448
,,,
通道二计数表：,,,
ID,计数时长(s),计数,
1,2,7113,3556.5
2,2,7106,3553
3,2,7105,3552.5
4,2,7072,3536
5,2,7066,3533
6,2,7275,3637.5
7,2,7115,3557.5
8,2,7129,3564.5
9,2,7307,3653.5
10,2,7185,3592.5
11,2,7136,3568
12,2,7087,3543.5
13,2,7207,3603.5
14,2,7032,3516
15,2,7215,3607.5
16,2,7265,3632.5
17,2,7086,3543
18,2,7282,3641
19,2,7369,3684.5
20,2,7063,3531.5
21,2,7036,3518
22,2,7109,3554.5
23,2,7119,3559.5
24,2,7292,3646
25,2,7167,3583.5
26,2,7227,3613.5
