通道一计数表：,,,
ID,计数时长(s),计数,计数率
27,2,7184,3592
28,2,7209,3604.5
29,2,7012,3506
30,2,7265,3632.5
31,2,7078,3539
32,2,7273,3636.5
33,2,7166,3583
34,2,7180,3590
35,2,7180,3590
36,2,7190,3595
37,2,7003,3501.5
38,2,7391,3695.5
39,2,7062,3531
40,2,7285,3642.5
41,2,7005,3502.5
42,2,7191,3595.5
43,2,7089,3544.5
44,2,7073,3536.5
45,2,7149,3574.5
46,2,7101,3550.5
47,2,7196,3598
48,2,7204,3602
49,2,7102,3551
50,2,7143,3571.5
51,2,7106,3553
52,2,7198,3599
53,2,7192,3596
54,2,7222,3611
55,2,7060,3530
56,2,7149,3574.5
57,2,7166,3583
58,2,7168,3584
59,2,7234,3617
60,2,7174,3587
61,2,7161,3580.5
62,2,7070,3535
63,2,7043,3521.5
64,2,7132,3566
65,2,7188,3594
66,2,7090,3545
67,2,7086,3543
68,2,7155,3577.5
69,2,7190,3595
70,2,7226,3613
71,2,7161,3580.5
72,2,7149,3574.5
73,2,7244,3622
74,2,7224,3612
75,2,7194,3597
76,2,7039,3519.5
77,2,7077,3538.5
78,2,7083,3541.5
79,2,7264,3632
80,2,7041,3520.5
81,2,7326,3663
82,2,7214,3607
83,2,7009,3504.5
84,2,7228,3614
85,2,7139,3569.5
86,2,7121,3560.5
87,2,7223,3611.5
88,2,7084,3542
89,2,7174,3587
90,2,6977,3488.5
91,2,7253,3626.5
92,2,7235,3617.5
93,2,7151,3575.5
94,2,7223,3611.5
95,2,7144,3572
96,2,6938,3469
97,2,7336,3668
98,2,7226,3613
99,2,7085,3542.5
100,2,7228,3614
101,2,7150,3575
102,2,7307,3653.5
103,2,7171,3585.5
104,2,7132,3566
105,2,7241,3620.5
106,2,7251,3625.5
107,2,7025,3512.5
108,2,7065,3532.5
109,2,7088,3544
110,2,7063,3531.5
111,2,6991,3495.5
112,2,7154,3577
113,2,7245,3622.5
114,2,7106,3553
115,2,7255,3627.5
116,2,7215,3607.5
117,2,6999,3499.5
118,2,7175,3587.5
119,2,7197,3598.5
120,2,7303,3651.5
121,2,7271,3635.5
122,2,7072,3536
123,2,7202,3601
124,2,7253,3626.5
,,平均计数率,3577.815364
