通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,1793,1793
2,1,1874,1874
3,1,1785,1785
4,1,1833,1833
5,1,1824,1824
6,1,1804,1804
7,1,1791,1791
8,1,1780,1780
9,1,1809,1809
10,1,1858,1858
11,1,1700,1700
12,1,1789,1789
13,1,1789,1789
14,1,1851,1851
15,1,1786,1786
16,1,1863,1863
17,1,1820,1820
18,1,1916,1916
19,1,1714,1714
20,1,1732,1732
21,1,1790,1790
22,1,1756,1756
23,1,1729,1729
24,1,1771,1771
25,1,1743,1743
26,1,1826,1826
27,1,1836,1836
28,1,1869,1869
29,1,1848,1848
30,1,1846,1846
31,1,1796,1796
32,1,1888,1888
33,1,1810,1810
34,1,1817,1817
35,1,1700,1700
36,1,1899,1899
37,1,1799,1799
38,1,1775,1775
39,1,1861,1861
40,1,1787,1787
41,1,1777,1777
42,1,1790,1790
43,1,1851,1851
44,1,1790,1790
45,1,1848,1848
46,1,1852,1852
47,1,1753,1753
48,1,1915,1915
49,1,1888,1888
50,1,1871,1871
51,1,1807,1807
52,1,1879,1879
53,1,1761,1761
54,1,1734,1734
55,1,1767,1767
56,1,1835,1835
57,1,1851,1851
58,1,1821,1821
59,1,1804,1804
60,1,1804,1804
61,1,1864,1864
62,1,1845,1845
63,1,1842,1842
64,1,1783,1783
65,1,1871,1871
66,1,1812,1812
67,1,1823,1823
68,1,1803,1803
69,1,1803,1803
70,1,1778,1778
71,1,1798,1798
72,1,1843,1843
73,1,1834,1834
74,1,1830,1830
75,1,1866,1866
76,1,1754,1754
77,1,1791,1791
78,1,1807,1807
79,1,1744,1744
80,1,1729,1729
81,1,1802,1802
82,1,1872,1872
83,1,1802,1802
84,1,1827,1827
85,1,1892,1892
86,1,1795,1795
87,1,1833,1833
88,1,1782,1782
89,1,1801,1801
90,1,1821,1821
91,1,1828,1828
92,1,1796,1796
93,1,1804,1804
94,1,1861,1861
95,1,1812,1812
96,1,1784,1784
97,1,1768,1768
