通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,952,952
2,1,997,997
3,1,995,995
4,1,928,928
5,1,989,989
6,1,1015,1015
7,1,979,979
8,1,994,994
9,1,965,965
10,1,1047,1047
11,1,1059,1059
12,1,987,987
13,1,1004,1004
14,1,995,995
15,1,978,978
16,1,1008,1008
17,1,1029,1029
18,1,982,982
19,1,1038,1038
20,1,904,904
21,1,974,974
22,1,1014,1014
23,1,964,964
24,1,1015,1015
25,1,1002,1002
26,1,1012,1012
27,1,990,990
28,1,1004,1004
29,1,1072,1072
30,1,997,997
31,1,1014,1014
32,1,944,944
33,1,1027,1027
34,1,988,988
35,1,1005,1005
36,1,992,992
37,1,1044,1044
38,1,1014,1014
39,1,993,993
40,1,972,972
41,1,1026,1026
42,1,1029,1029
43,1,1014,1014
44,1,1021,1021
45,1,1011,1011
46,1,1047,1047
47,1,1047,1047
48,1,936,936
49,1,977,977
50,1,961,961
51,1,1037,1037
52,1,1003,1003
53,1,1039,1039
54,1,1011,1011
55,1,921,921
56,1,933,933
57,1,973,973
58,1,987,987
59,1,989,989
60,1,1041,1041
61,1,951,951
62,1,1028,1028
63,1,1033,1033
64,1,957,957
65,1,1021,1021
66,1,933,933
67,1,1006,1006
68,1,989,989
69,1,989,989
70,1,997,997
71,1,1022,1022
72,1,1000,1000
73,1,1018,1018
74,1,993,993
75,1,970,970
76,1,1006,1006
77,1,985,985
78,1,960,960
79,1,989,989
80,1,991,991
81,1,939,939
82,1,1003,1003
83,1,1055,1055
84,1,997,997
85,1,982,982
86,1,1053,1053
87,1,1074,1074
88,1,957,957
89,1,969,969
90,1,972,972
91,1,996,996
92,1,999,999
93,1,1024,1024
94,1,1028,1028
95,1,997,997
96,1,1033,1033
97,1,964,964
98,1,962,962
99,1,1059,1059
100,1,1021,1021
101,1,1007,1007
102,1,979,979
103,1,917,917
104,1,986,986
105,1,1019,1019
106,1,1064,1064
107,1,981,981
108,1,978,978
109,1,1023,1023
110,1,991,991
111,1,1027,1027
112,1,976,976
113,1,1022,1022
114,1,1010,1010
115,1,1078,1078
116,1,1005,1005
117,1,998,998
118,1,977,977
119,1,975,975
120,1,1003,1003
121,1,945,945
122,1,1011,1011
123,1,1041,1041
124,1,989,989
125,1,996,996
126,1,1047,1047
127,1,959,959
128,1,947,947
129,1,974,974
130,1,1014,1014
131,1,1014,1014
132,1,979,979
133,1,968,968
134,1,1001,1001
135,1,938,938
136,1,974,974
137,1,1000,1000
138,1,1020,1020
139,1,1054,1054
140,1,1007,1007
141,1,1073,1073
142,1,1006,1006
143,1,1013,1013
144,1,1029,1029
145,1,1022,1022
146,1,1044,1044
147,1,1010,1010
148,1,1002,1002
149,1,953,953
150,1,971,971
151,1,1025,1025
152,1,1002,1002
153,1,1031,1031
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,3,2979,993
2,3,3049,1016.333333
3,3,2984,994.6666667
4,3,2859,953
5,3,2950,983.3333333
6,3,3020,1006.666667
7,3,2966,988.6666667
8,3,2994,998
9,3,2955,985
10,3,2994,998
11,3,3011,1003.666667
12,3,2979,993
13,3,2903,967.6666667
14,3,2946,982
15,3,2986,995.3333333
16,3,2964,988
17,3,3091,1030.333333
18,3,2952,984
19,3,3007,1002.333333
20,3,3036,1012
21,3,3049,1016.333333
22,3,2995,998.3333333
23,3,3058,1019.333333
24,3,3017,1005.666667
25,3,2949,983
26,3,2985,995
27,3,2992,997.3333333
28,3,3045,1015
29,3,3060,1020
30,3,2929,976.3333333
31,3,3016,1005.333333
32,3,2995,998.3333333
33,3,3022,1007.333333
34,3,3002,1000.666667
35,3,3008,1002.666667
36,3,2937,979
37,3,2948,982.6666667
38,3,2974,991.3333333
39,3,2927,975.6666667
40,3,2970,990
41,3,2928,976
42,3,2992,997.3333333
43,3,3028,1009.333333
44,3,3060,1020
45,3,3018,1006
46,3,2969,989.6666667
47,3,2977,992.3333333
48,3,2927,975.6666667
49,3,2915,971.6666667
50,3,3100,1033.333333
51,3,2899,966.3333333
,,平均计数率,995.5294118
