通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,1352,1352
2,1,1376,1376
3,1,1334,1334
4,1,1332,1332
5,1,1350,1350
6,1,1383,1383
7,1,1374,1374
8,1,1404,1404
9,1,1380,1380
10,1,1325,1325
11,1,1335,1335
12,1,1294,1294
13,1,1294,1294
14,1,1290,1290
15,1,1470,1470
16,1,1268,1268
17,1,1314,1314
18,1,1386,1386
19,1,1355,1355
20,1,1351,1351
21,1,1386,1386
22,1,1375,1375
23,1,1382,1382
24,1,1352,1352
25,1,1393,1393
26,1,1370,1370
27,1,1358,1358
28,1,1418,1418
29,1,1381,1381
30,1,1412,1412
31,1,1391,1391
32,1,1391,1391
33,1,1401,1401
34,1,1347,1347
35,1,1352,1352
36,1,1363,1363
37,1,1338,1338
38,1,1370,1370
39,1,1367,1367
40,1,1419,1419
41,1,1334,1334
42,1,1363,1363
43,1,1373,1373
44,1,1328,1328
45,1,1385,1385
46,1,1416,1416
47,1,1456,1456
48,1,1322,1322
49,1,1398,1398
50,1,1389,1389
51,1,1405,1405
52,1,1390,1390
53,1,1423,1423
54,1,1346,1346
55,1,1401,1401
56,1,1350,1350
57,1,1394,1394
58,1,1439,1439
59,1,1427,1427
60,1,1401,1401
61,1,1338,1338
62,1,1398,1398
63,1,1365,1365
64,1,1445,1445
65,1,1385,1385
66,1,1380,1380
67,1,1352,1352
68,1,1309,1309
69,1,1345,1345
70,1,1337,1337
71,1,1364,1364
72,1,1376,1376
73,1,1371,1371
74,1,1415,1415
75,1,1369,1369
76,1,1303,1303
77,1,1434,1434
78,1,1332,1332
79,1,1291,1291
80,1,1400,1400
81,1,1343,1343
82,1,1352,1352
83,1,1369,1369
84,1,1398,1398
85,1,1342,1342
86,1,1344,1344
87,1,1382,1382
88,1,1440,1440
89,1,1360,1360
90,1,1397,1397
91,1,1350,1350
92,1,1393,1393
93,1,1363,1363
94,1,1373,1373
95,1,1403,1403
96,1,1349,1349
97,1,1393,1393
98,1,1379,1379
99,1,1440,1440
100,1,1395,1395
101,1,1401,1401
102,1,1434,1434
103,1,1332,1332
104,1,1334,1334
105,1,1378,1378
106,1,1349,1349
107,1,1406,1406
108,1,1324,1324
109,1,1405,1405
110,1,1337,1337
111,1,1319,1319
112,1,1379,1379
113,1,1384,1384
114,1,1296,1296
115,1,1401,1401
116,1,1368,1368
117,1,1336,1336
118,1,1392,1392
119,1,1398,1398
120,1,1315,1315
121,1,1339,1339
122,1,1339,1339
123,1,1424,1424
124,1,1374,1374
125,1,1395,1395
126,1,1344,1344
127,1,1347,1347
128,1,1312,1312
129,1,1361,1361
130,1,1404,1404
131,1,1393,1393
132,1,1370,1370
133,1,1362,1362
134,1,1325,1325
135,1,1365,1365
136,1,1373,1373
137,1,1332,1332
138,1,1331,1331
139,1,1344,1344
140,1,1427,1427
141,1,1388,1388
142,1,1319,1319
143,1,1384,1384
144,1,1331,1331
145,1,1369,1369
146,1,1332,1332
147,1,1281,1281
148,1,1441,1441
149,1,1365,1365
150,1,1356,1356
151,1,1377,1377
152,1,1397,1397
153,1,1387,1387
154,1,1309,1309
155,1,1412,1412
156,1,1372,1372
157,1,1370,1370
158,1,1399,1399
159,1,1303,1303
160,1,1368,1368
161,1,1329,1329
162,1,1447,1447
163,1,1354,1354
164,1,1355,1355
165,1,1406,1406
166,1,1409,1409
167,1,1397,1397
168,1,1348,1348
169,1,1366,1366
170,1,1327,1327
171,1,1393,1393
172,1,1370,1370
173,1,1361,1361
174,1,1359,1359
175,1,1381,1381
176,1,1373,1373
177,1,1343,1343
178,1,1319,1319
179,1,1401,1401
180,1,1352,1352
181,1,1353,1353
182,1,1430,1430
183,1,1388,1388
184,1,1387,1387
185,1,1420,1420
186,1,1363,1363
187,1,1388,1388
188,1,1361,1361
189,1,1328,1328
190,1,1331,1331
191,1,1362,1362
192,1,1381,1381
193,1,1361,1361
194,1,1387,1387
195,1,1313,1313
196,1,1389,1389
197,1,1307,1307
198,1,1371,1371
199,1,1312,1312
200,1,1386,1386
201,1,1354,1354
202,1,1357,1357
203,1,1432,1432
204,1,1334,1334
205,1,1355,1355
206,1,1347,1347
207,1,1405,1405
208,1,1398,1398
209,1,1372,1372
210,1,1422,1422
211,1,1365,1365
212,1,1367,1367
213,1,1374,1374
214,1,1406,1406
215,1,1382,1382
216,1,1403,1403
217,1,1431,1431
218,1,1392,1392
219,1,1381,1381
220,1,1328,1328
221,1,1345,1345
222,1,1422,1422
223,1,1404,1404
224,1,1296,1296
225,1,1312,1312
226,1,1414,1414
227,1,1368,1368
228,1,1387,1387
229,1,1386,1386
230,1,1417,1417
231,1,1333,1333
232,1,1326,1326
233,1,1382,1382
234,1,1411,1411
235,1,1363,1363
236,1,1394,1394
237,1,1421,1421
238,1,1364,1364
239,1,1385,1385
240,1,1357,1357
241,1,1357,1357
242,1,1315,1315
243,1,1385,1385
244,1,1380,1380
245,1,1322,1322
246,1,1349,1349
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,2.5,3343,1337.2
2,2.5,3373,1349.2
3,2.5,3514,1405.6
4,2.5,3362,1344.8
5,2.5,3459,1383.6
6,2.5,3425,1370
7,2.5,3444,1377.6
8,2.5,3408,1363.2
9,2.5,3439,1375.6
10,2.5,3382,1352.8
11,2.5,3472,1388.8
12,2.5,3436,1374.4
13,2.5,3438,1375.2
14,2.5,3497,1398.8
15,2.5,3456,1382.4
16,2.5,3432,1372.8
17,2.5,3346,1338.4
18,2.5,3431,1372.4
19,2.5,3371,1348.4
20,2.5,3379,1351.6
21,2.5,3365,1346
22,2.5,3435,1374
23,2.5,3386,1354.4
24,2.5,3471,1388.4
25,2.5,3407,1362.8
26,2.5,3484,1393.6
27,2.5,3506,1402.4
28,2.5,3446,1378.4
29,2.5,3444,1377.6
30,2.5,3482,1392.8
31,2.5,3405,1362
32,2.5,3419,1367.6
33,2.5,3366,1346.4
34,2.5,3488,1395.2
35,2.5,3485,1394
36,2.5,3322,1328.8
37,2.5,3373,1349.2
38,2.5,3344,1337.6
39,2.5,3480,1392
40,2.5,3347,1338.8
41,2.5,3425,1370
42,2.5,3410,1364
43,2.5,3423,1369.2
44,2.5,3439,1375.6
45,2.5,3320,1328
46,2.5,3293,1317.2
47,2.5,3434,1373.6
48,2.5,3430,1372
49,2.5,3360,1344
50,2.5,3479,1391.6
51,2.5,3459,1383.6
52,2.5,3428,1371.2
53,2.5,3354,1341.6
54,2.5,3337,1334.8
55,2.5,3425,1370
56,2.5,3387,1354.8
57,2.5,3310,1324
58,2.5,3380,1352
59,2.5,3452,1380.8
60,2.5,3417,1366.8
61,2.5,3460,1384
62,2.5,3393,1357.2
63,2.5,3394,1357.6
64,2.5,3436,1374.4
65,2.5,3404,1361.6
66,2.5,3445,1378
67,2.5,3451,1380.4
68,2.5,3544,1417.6
69,2.5,3359,1343.6
70,2.5,3563,1425.2
71,2.5,3449,1379.6
72,2.5,3429,1371.6
73,2.5,3406,1362.4
74,2.5,3370,1348
75,2.5,3324,1329.6
76,2.5,3374,1349.6
77,2.5,3439,1375.6
78,2.5,3421,1368.4
79,2.5,3401,1360.4
80,2.5,3357,1342.8
81,2.5,3402,1360.8
82,2.5,3425,1370
83,2.5,3427,1370.8
84,2.5,3409,1363.6
85,2.5,3443,1377.2
86,2.5,3358,1343.2
87,2.5,3592,1436.8
88,2.5,3342,1336.8
89,2.5,3521,1408.4
