通道一计数表：,,,,,,,,,
ID,计数时长(s),计数,计数率,,,,,,
92,1,47,47,,,,,,
93,1,42,42,,,,,,
94,1,46,46,,,,,,
95,1,57,57,,,,,,
96,1,56,56,,,,,,
97,1,51,51,,,,,,
98,1,50,50,,,,,,
99,1,47,47,,,,,,
100,1,49,49,,,,,,
101,1,39,39,,,,,,
102,1,51,51,,,,,,
103,1,44,44,,,,,,
104,1,50,50,,,,,,
105,1,41,41,,,,,,
106,1,54,54,,,,,,
107,1,48,48,,,,,,
108,1,55,55,,,,,,
109,1,49,49,,,,,,
110,1,59,59,,,,,,
111,1,54,54,,,,,,
112,1,76,76,,,,,,
113,1,57,57,,,,,,
114,1,44,44,,,,,,
115,1,43,43,,,,,,
116,1,50,50,,,,,,
117,1,41,41,,,,,,
118,1,43,43,,,,,,
119,1,49,49,,,,,,
120,1,43,43,,,,,,
121,1,64,64,,,,,,
122,1,42,42,,,,,,
123,1,60,60,,,,,,
124,1,55,55,,,,,,
125,1,41,41,,,,,,
126,1,47,47,,,,,,
127,1,53,53,,,,,,
128,1,46,46,,,,,,
129,1,43,43,,,,,,
130,1,46,46,,,,,,
131,1,51,51,,,,,,
132,1,43,43,,,,,,
133,1,56,56,,,,,,
134,1,44,44,,,,,,
135,1,48,48,,,,,,
136,1,45,45,,,,,,
137,1,55,55,,,,,,
138,1,34,34,,,,,,
139,1,53,53,,,,,,
140,1,53,53,,,,,,
141,1,49,49,,,,,,
142,1,62,62,,,,,,
143,1,41,41,,,,,,
144,1,45,45,,,,,,
145,1,36,36,,,,,,
146,1,43,43,,,,,,
147,1,54,54,,,,,,
148,1,43,43,,,,,,
149,1,52,52,,,,,,
150,1,52,52,,,,,,
151,1,62,62,,,,,,
152,1,67,67,,,,,,
153,1,54,54,,,,,,
154,1,50,50,,,,,,
155,1,35,35,,,,,,
156,1,54,54,,,,,,
157,1,58,58,,,,,,
158,1,36,36,,,,,,
159,1,49,49,,,,,,
160,1,48,48,,,,,,
161,1,44,44,,,,,,
162,1,57,57,,,,,,
163,1,55,55,,,,,,
164,1,52,52,,,,,,
165,1,44,44,,,,,,
166,1,57,57,,,,,,
167,1,51,51,,,,,,
168,1,57,57,,,,,,
169,1,45,45,,,,,,
170,1,50,50,,,,,,
171,1,58,58,,,,,,
172,1,46,46,,,,,,
173,1,35,35,,,,,,
174,1,52,52,,,,,,
175,1,51,51,,,,,,
176,1,51,51,,,,,,
177,1,59,59,,,,,,
178,1,33,33,,,,,,
179,1,52,52,,,,,,
180,1,45,45,,,,,,
181,1,47,47,,,,,,
182,1,43,43,,,,,,
183,1,44,44,,,,,,
184,1,39,39,,,,,,
185,1,40,40,,,,,,
186,1,42,42,,,,,,
187,1,51,51,,,,,,
188,1,51,51,,,,,,
189,1,61,61,,,,,,
190,1,45,45,,,,,,
191,1,37,37,,,,,,
192,1,65,65,,,,,,
193,1,67,67,,,,,,
194,1,59,59,,,,,,
195,1,59,59,,,,,,
196,1,42,42,,,,,,
197,1,52,52,,,,,,
198,1,50,50,,,,,,
199,1,42,42,,,,,,
200,1,56,56,,,,,,
201,1,39,39,,,,,,
202,1,47,47,,,,,,
203,1,57,57,,,,,,
204,1,46,46,,,,,,
205,1,49,49,,,,,,
206,1,50,50,,,,,,
207,1,46,46,,,,,,
208,1,44,44,,,,,,
209,1,49,49,,,,,,
210,1,53,53,,,,,,
211,1,60,60,,,,,,
212,1,41,41,,,,,,
213,1,55,55,,,,,,
214,1,52,52,,,,,,
215,1,55,55,,,,,,
216,1,41,41,,,,,,
217,1,65,65,,,,,,
218,1,58,58,,,,,,
219,1,48,48,,,,,,
220,1,54,54,,,,,,
221,1,45,45,,,,,,
222,1,47,47,,,,,,
223,1,35,35,,,,,,
224,1,52,52,,,,,,
225,1,53,53,,,,,,
226,1,47,47,,,,,,
227,1,39,39,,,,,,
228,1,65,65,,,,,,
229,1,48,48,,,,,,
230,1,52,52,,,,,,
231,1,39,39,,,,,,
232,1,49,49,,,,,,
233,1,41,41,,,,,,
234,1,49,49,,,,,,
235,1,56,56,,,,,,
236,1,59,59,,,,,,
237,1,48,48,,,,,,
238,1,39,39,,,,,,
239,1,49,49,,,,,,
240,1,57,57,,,,,,
241,1,37,37,,,,,,
242,1,50,50,,,,,,
243,1,65,65,,,,,,
244,1,47,47,,,,,,
245,1,50,50,,,,,,
246,1,61,61,,,,,,
247,1,47,47,,,,,,
248,1,45,45,,,,,,
249,1,52,52,,,,,,
250,1,49,49,,,,,,
251,1,40,40,,,,,,
252,1,40,40,,,,,,
253,1,51,51,,,,,,
254,1,53,53,,,,,,
255,1,51,51,,,,,,
256,1,54,54,,,,,,
257,1,43,43,,,,,,
258,1,40,40,,,,,,
259,1,71,71,,,,,,
260,1,34,34,,,,,,
261,1,39,39,,,,,,
262,1,39,39,,,,,,
263,1,53,53,,,,,,
264,1,39,39,,,,,,
265,1,48,48,,,,,,
266,1,44,44,,,,,,
267,1,47,47,,,,,,
268,1,46,46,,,,,,
269,1,59,59,,,,,,
270,1,57,57,,,,,,
271,1,36,36,,,,,,
272,1,55,55,,,,,,
273,1,55,55,,,,,,
274,1,44,44,,,,,,
275,1,40,40,,,,,,
276,1,52,52,,,,,,
277,1,50,50,,,,,,
278,1,45,45,,,,,,
279,1,50,50,,,,,,
280,1,42,42,,,,,,
281,1,58,58,,,,,,
282,1,56,56,,,,,,
283,1,67,67,,,,,,
284,1,53,53,,,,,,
285,1,57,57,,,,,,
286,1,59,59,,,,,,
287,1,44,44,,,,,,
288,1,48,48,,,,,,
289,1,59,59,,,,,,
290,1,44,44,,,,,,
291,1,51,51,,,,,,
292,1,55,55,,,,,,
293,1,43,43,,,,,,
294,1,66,66,,,,,,
295,1,50,50,,,,,,
296,1,66,66,,,,,,
297,1,48,48,,,,,,
298,1,43,43,,,,,,
299,1,61,61,,,,,,
300,1,56,56,,,,,,
301,1,40,40,,,,,,
302,1,47,47,,,,,,
303,1,52,52,,,,,,
304,1,44,44,,,,,,
305,1,41,41,,,,,,
306,1,51,51,,,,,,
307,1,70,70,,,,,,
308,1,43,43,,,,,,
309,1,53,53,,,,,,
310,1,43,43,,,,,,
311,1,55,55,,,,,,
312,1,44,44,,,,,,
313,1,56,56,,,,,,
314,1,55,55,,,,,,
315,1,47,47,,,,,,
316,1,40,40,,,,,,
317,1,56,56,,,,,,
318,1,46,46,,,,,,
319,1,58,58,,,,,,
320,1,50,50,,,,,,
321,1,54,54,,,,,,
322,1,38,38,,,,,,
323,1,66,66,,,,,,
324,1,52,52,,,,,,
325,1,49,49,,,,,,
326,1,53,53,,,,,,
327,1,53,53,,,,,,
328,1,46,46,,,,,,
329,1,41,41,,,,,,
330,1,54,54,,,,,,
331,1,61,61,,,,,,
332,1,53,53,,,,,,
333,1,47,47,,,,,,
334,1,34,34,,,,,,
335,1,42,42,,,,,,
336,1,52,52,,,,,,
337,1,52,52,,,,,,
338,1,41,41,,,,,,
339,1,58,58,,,,,,
340,1,52,52,,,,,,
341,1,58,58,,,,,,
342,1,48,48,,,,,,
343,1,52,52,,,,,,
344,1,48,48,,,,,,
345,1,51,51,,,,,,
346,1,55,55,,,,,,
347,1,52,52,,,,,,
348,1,49,49,,,,,,
349,1,44,44,,,,,,
350,1,47,47,,,,,,
351,1,38,38,,,,,,
352,1,51,51,,,,,,
353,1,52,52,,,,,,
354,1,42,42,,,,,,
355,1,42,42,,,,,,
356,1,52,52,,,,,,
357,1,53,53,,,,,,
358,1,49,49,,,,,,
359,1,53,53,,,,,,
360,1,54,54,,,,,,
361,1,47,47,,,,,,
362,1,49,49,,,,,,
363,1,50,50,,,,,,
364,1,42,42,,,,,,
365,1,45,45,,,,,,
366,1,42,42,,,,,,
367,1,47,47,,,,,,
368,1,40,40,,,,,,
369,1,47,47,,,,,,
370,1,56,56,,,,,,
371,1,44,44,,,,,,
372,1,65,65,,,,,,
373,1,60,60,,,,,,
374,1,55,55,,,,,,
375,1,56,56,,,,,,
376,1,53,53,,,,,,
377,1,51,51,,,,,,
378,1,48,48,,,,,,
379,1,40,40,,,,,,
380,1,57,57,,,,,,
381,1,54,54,,,,,,
382,1,49,49,,,,,,
383,1,53,53,,,,,,
384,1,53,53,,,,,,
385,1,49,49,,,,,,
386,1,64,64,,,,,,
387,1,35,35,,,,,,
388,1,37,37,,,,,,
389,1,63,63,,,,,,
,,总平均,49.80360206,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,49.8036
