通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,703,703
2,1,738,738
3,1,703,703
4,1,753,753
5,1,689,689
6,1,713,713
7,1,697,697
8,1,704,704
9,1,741,741
10,1,692,692
11,1,685,685
12,1,756,756
13,1,659,659
14,1,680,680
15,1,760,760
16,1,716,716
17,1,690,690
18,1,752,752
19,1,701,701
20,1,718,718
21,1,691,691
22,1,723,723
23,1,735,735
24,1,718,718
25,1,694,694
26,1,714,714
27,1,729,729
28,1,725,725
29,1,704,704
30,1,696,696
31,1,708,708
32,1,683,683
33,1,686,686
34,1,655,655
35,1,734,734
36,1,721,721
37,1,750,750
38,1,672,672
39,1,710,710
40,1,757,757
41,1,715,715
42,1,700,700
43,1,724,724
44,1,732,732
45,1,709,709
46,1,752,752
47,1,684,684
48,1,697,697
49,1,725,725
50,1,706,706
51,1,726,726
52,1,737,737
53,1,724,724
54,1,711,711
55,1,720,720
56,1,696,696
57,1,774,774
58,1,755,755
59,1,712,712
60,1,746,746
61,1,688,688
62,1,735,735
63,1,743,743
64,1,663,663
65,1,673,673
66,1,717,717
67,1,704,704
68,1,660,660
69,1,732,732
70,1,729,729
71,1,700,700
72,1,758,758
73,1,748,748
74,1,680,680
75,1,799,799
76,1,668,668
77,1,693,693
78,1,697,697
79,1,716,716
80,1,757,757
81,1,717,717
82,1,783,783
83,1,708,708
84,1,718,718
85,1,697,697
86,1,753,753
87,1,667,667
88,1,703,703
89,1,683,683
90,1,719,719
91,1,728,728
92,1,747,747
93,1,720,720
94,1,756,756
95,1,733,733
96,1,669,669
97,1,736,736
98,1,696,696
99,1,718,718
100,1,741,741
101,1,758,758
102,1,672,672
103,1,711,711
104,1,717,717
105,1,717,717
106,1,739,739
107,1,731,731
108,1,696,696
109,1,659,659
110,1,680,680
111,1,743,743
112,1,704,704
113,1,716,716
114,1,695,695
115,1,751,751
116,1,719,719
117,1,692,692
118,1,693,693
119,1,681,681
120,1,688,688
121,1,735,735
122,1,682,682
123,1,685,685
124,1,722,722
125,1,732,732
126,1,691,691
127,1,680,680
128,1,737,737
129,1,693,693
130,1,680,680
131,1,711,711
132,1,720,720
133,1,694,694
134,1,727,727
135,1,703,703
136,1,697,697
137,1,769,769
138,1,756,756
139,1,679,679
140,1,663,663
141,1,658,658
142,1,699,699
143,1,689,689
144,1,676,676
145,1,738,738
146,1,746,746
147,1,749,749
148,1,707,707
149,1,679,679
150,1,706,706
151,1,739,739
152,1,735,735
153,1,708,708
154,1,709,709
155,1,696,696
156,1,734,734
157,1,728,728
158,1,691,691
159,1,703,703
160,1,688,688
161,1,724,724
162,1,686,686
163,1,675,675
164,1,705,705
165,1,762,762
166,1,709,709
167,1,802,802
168,1,705,705
169,1,767,767
170,1,679,679
171,1,707,707
172,1,680,680
173,1,701,701
174,1,714,714
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,3.5,2507,716.2857143
2,3.5,2527,722
3,3.5,2481,708.8571429
4,3.5,2414,689.7142857
5,3.5,2479,708.2857143
6,3.5,2498,713.7142857
7,3.5,2487,710.5714286
8,3.5,2468,705.1428571
9,3.5,2524,721.1428571
10,3.5,2585,738.5714286
11,3.5,2437,696.2857143
12,3.5,2427,693.4285714
13,3.5,2424,692.5714286
14,3.5,2459,702.5714286
15,3.5,2498,713.7142857
16,3.5,2554,729.7142857
17,3.5,2423,692.2857143
18,3.5,2477,707.7142857
19,3.5,2454,701.1428571
20,3.5,2495,712.8571429
21,3.5,2435,695.7142857
22,3.5,2481,708.8571429
23,3.5,2428,693.7142857
24,3.5,2510,717.1428571
25,3.5,2550,728.5714286
26,3.5,2556,730.2857143
27,3.5,2519,719.7142857
28,3.5,2432,694.8571429
29,3.5,2589,739.7142857
30,3.5,2490,711.4285714
31,3.5,2460,702.8571429
32,3.5,2463,703.7142857
33,3.5,2533,723.7142857
34,3.5,2472,706.2857143
35,3.5,2489,711.1428571
36,3.5,2493,712.2857143
37,3.5,2499,714
38,3.5,2511,717.4285714
39,3.5,2398,685.1428571
40,3.5,2532,723.4285714
41,3.5,2540,725.7142857
42,3.5,2542,726.2857143
43,3.5,2531,723.1428571
44,3.5,2491,711.7142857
45,3.5,2482,709.1428571
46,3.5,2470,705.7142857
47,3.5,2488,710.8571429
48,3.5,2396,684.5714286
49,3.5,2427,693.4285714
50,3.5,2502,714.8571429
,,平均计数率,710.44
