通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,1019,1019
2,1,1078,1078
3,1,1040,1040
4,1,1021,1021
5,1,1018,1018
6,1,1042,1042
7,1,1042,1042
8,1,999,999
9,1,1100,1100
10,1,980,980
11,1,1109,1109
12,1,1053,1053
13,1,1049,1049
14,1,1054,1054
15,1,1034,1034
16,1,1044,1044
17,1,1027,1027
18,1,991,991
19,1,1037,1037
20,1,996,996
21,1,1069,1069
22,1,1104,1104
23,1,1014,1014
24,1,1019,1019
25,1,1032,1032
26,1,1051,1051
27,1,1084,1084
28,1,1001,1001
29,1,1004,1004
30,1,1026,1026
31,1,1059,1059
32,1,1096,1096
33,1,1111,1111
34,1,993,993
35,1,1056,1056
36,1,1057,1057
37,1,1065,1065
38,1,1008,1008
39,1,1038,1038
40,1,1048,1048
41,1,1007,1007
42,1,1012,1012
43,1,1049,1049
44,1,1050,1050
45,1,1015,1015
46,1,1049,1049
47,1,1013,1013
48,1,1076,1076
49,1,1057,1057
50,1,1068,1068
51,1,1020,1020
52,1,1066,1066
53,1,1042,1042
54,1,1136,1136
55,1,1076,1076
56,1,1069,1069
57,1,1011,1011
58,1,1032,1032
59,1,1029,1029
60,1,1016,1016
61,1,1032,1032
62,1,1088,1088
63,1,1101,1101
64,1,1039,1039
65,1,1014,1014
66,1,1001,1001
67,1,1067,1067
68,1,1026,1026
69,1,1012,1012
70,1,1070,1070
71,1,999,999
72,1,1018,1018
73,1,1038,1038
74,1,952,952
75,1,1024,1024
76,1,1032,1032
77,1,1066,1066
78,1,1073,1073
79,1,1041,1041
80,1,1026,1026
81,1,1019,1019
82,1,1092,1092
83,1,1029,1029
84,1,1090,1090
85,1,1031,1031
86,1,1040,1040
87,1,1066,1066
88,1,1050,1050
89,1,962,962
90,1,1026,1026
91,1,1039,1039
92,1,1020,1020
93,1,1021,1021
94,1,983,983
95,1,1048,1048
96,1,1032,1032
97,1,1068,1068
98,1,1056,1056
99,1,1121,1121
100,1,1003,1003
101,1,1049,1049
102,1,1080,1080
103,1,1019,1019
104,1,1011,1011
105,1,1038,1038
106,1,1027,1027
107,1,1049,1049
108,1,1038,1038
109,1,1070,1070
110,1,970,970
111,1,1070,1070
112,1,1006,1006
113,1,1036,1036
114,1,1054,1054
115,1,1008,1008
116,1,1005,1005
117,1,1041,1041
118,1,1057,1057
119,1,1041,1041
120,1,1039,1039
121,1,1064,1064
122,1,1065,1065
123,1,1026,1026
124,1,1023,1023
125,1,993,993
126,1,1011,1011
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,2.5,2552,1020.8
2,2.5,2603,1041.2
3,2.5,2640,1056
4,2.5,2621,1048.4
5,2.5,2591,1036.4
6,2.5,2572,1028.8
7,2.5,2623,1049.2
8,2.5,2585,1034
9,2.5,2536,1014.4
10,2.5,2518,1007.2
11,2.5,2683,1073.2
12,2.5,2657,1062.8
13,2.5,2542,1016.8
14,2.5,2610,1044
15,2.5,2564,1025.6
16,2.5,2663,1065.2
17,2.5,2518,1007.2
18,2.5,2594,1037.6
19,2.5,2662,1064.8
20,2.5,2642,1056.8
21,2.5,2688,1075.2
22,2.5,2583,1033.2
23,2.5,2599,1039.6
24,2.5,2590,1036
25,2.5,2623,1049.2
26,2.5,2647,1058.8
27,2.5,2473,989.2
28,2.5,2537,1014.8
29,2.5,2713,1085.2
30,2.5,2691,1076.4
31,2.5,2596,1038.4
32,2.5,2603,1041.2
33,2.5,2631,1052.4
34,2.5,2577,1030.8
35,2.5,2655,1062
36,2.5,2628,1051.2
37,2.5,2599,1039.6
38,2.5,2575,1030
39,2.5,2587,1034.8
40,2.5,2680,1072
41,2.5,2599,1039.6
42,2.5,2597,1038.8
43,2.5,2703,1081.2
44,2.5,2540,1016
45,2.5,2616,1046.4
46,2.5,2625,1050
47,2.5,2658,1063.2
48,2.5,2624,1049.6
49,2.5,2578,1031.2
50,2.5,2594,1037.6
,,平均计数率,1043.08
