通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,1236,1236
2,1,1183,1183
3,1,1179,1179
4,1,1207,1207
5,1,1179,1179
6,1,1256,1256
7,1,1210,1210
8,1,1193,1193
9,1,1184,1184
10,1,1185,1185
11,1,1193,1193
12,1,1184,1184
13,1,1203,1203
14,1,1187,1187
15,1,1221,1221
16,1,1214,1214
17,1,1178,1178
18,1,1188,1188
19,1,1196,1196
20,1,1171,1171
21,1,1183,1183
22,1,1184,1184
23,1,1253,1253
24,1,1148,1148
25,1,1241,1241
26,1,1149,1149
27,1,1151,1151
28,1,1173,1173
29,1,1172,1172
30,1,1161,1161
31,1,1186,1186
32,1,1148,1148
33,1,1166,1166
34,1,1217,1217
35,1,1236,1236
36,1,1153,1153
37,1,1238,1238
38,1,1201,1201
39,1,1220,1220
40,1,1184,1184
41,1,1229,1229
42,1,1198,1198
43,1,1201,1201
44,1,1211,1211
45,1,1076,1076
46,1,1172,1172
47,1,1194,1194
48,1,1181,1181
49,1,1209,1209
50,1,1177,1177
51,1,1210,1210
52,1,1213,1213
53,1,1233,1233
54,1,1223,1223
55,1,1152,1152
56,1,1219,1219
57,1,1124,1124
58,1,1232,1232
59,1,1151,1151
60,1,1237,1237
61,1,1132,1132
62,1,1204,1204
63,1,1187,1187
64,1,1135,1135
65,1,1147,1147
66,1,1179,1179
67,1,1185,1185
68,1,1189,1189
69,1,1268,1268
70,1,1158,1158
71,1,1230,1230
72,1,1158,1158
73,1,1202,1202
74,1,1215,1215
75,1,1210,1210
76,1,1233,1233
77,1,1199,1199
78,1,1217,1217
79,1,1177,1177
80,1,1265,1265
81,1,1198,1198
82,1,1152,1152
83,1,1214,1214
84,1,1207,1207
85,1,1213,1213
86,1,1230,1230
87,1,1165,1165
88,1,1187,1187
89,1,1212,1212
90,1,1193,1193
91,1,1206,1206
92,1,1178,1178
93,1,1169,1169
94,1,1216,1216
95,1,1180,1180
96,1,1134,1134
97,1,1172,1172
98,1,1188,1188
99,1,1174,1174
100,1,1192,1192
101,1,1182,1182
102,1,1177,1177
103,1,1226,1226
104,1,1187,1187
105,1,1165,1165
106,1,1194,1194
107,1,1224,1224
108,1,1179,1179
109,1,1181,1181
110,1,1212,1212
111,1,1243,1243
112,1,1206,1206
113,1,1202,1202
114,1,1176,1176
115,1,1201,1201
116,1,1173,1173
117,1,1172,1172
118,1,1232,1232
119,1,1210,1210
120,1,1161,1161
121,1,1137,1137
122,1,1162,1162
123,1,1213,1213
124,1,1187,1187
125,1,1142,1142
126,1,1215,1215
127,1,1264,1264
128,1,1230,1230
129,1,1175,1175
130,1,1157,1157
131,1,1270,1270
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,2.5,2997,1198.8
2,2.5,2957,1182.8
3,2.5,3017,1206.8
4,2.5,3004,1201.6
5,2.5,2996,1198.4
6,2.5,2980,1192
7,2.5,2917,1166.8
8,2.5,3072,1228.8
9,2.5,3020,1208
10,2.5,3037,1214.8
11,2.5,2965,1186
12,2.5,2965,1186
13,2.5,2992,1196.8
14,2.5,3045,1218
15,2.5,3002,1200.8
16,2.5,2941,1176.4
17,2.5,3072,1228.8
18,2.5,2930,1172
19,2.5,2963,1185.2
20,2.5,3017,1206.8
21,2.5,2927,1170.8
22,2.5,2978,1191.2
23,2.5,3002,1200.8
24,2.5,3092,1236.8
25,2.5,2942,1176.8
26,2.5,3021,1208.4
27,2.5,3009,1203.6
28,2.5,2878,1151.2
29,2.5,3067,1226.8
30,2.5,3029,1211.6
31,2.5,2890,1156
32,2.5,2926,1170.4
33,2.5,3016,1206.4
34,2.5,2941,1176.4
35,2.5,2935,1174
36,2.5,3037,1214.8
37,2.5,2893,1157.2
38,2.5,2991,1196.4
39,2.5,2981,1192.4
40,2.5,3093,1237.2
41,2.5,2986,1194.4
42,2.5,3018,1207.2
43,2.5,3019,1207.6
44,2.5,2903,1161.2
45,2.5,3017,1206.8
46,2.5,2951,1180.4
47,2.5,3026,1210.4
48,2.5,3038,1215.2
49,2.5,3066,1226.4
50,2.5,2960,1184
51,2.5,2979,1191.6
52,2.5,2960,1184
53,2.5,2994,1197.6
,,平均计数率,1195.879245
