通道一计数表：,,,
ID,计数时长(s),计数,计数率
1,1,825,825
2,1,832,832
3,1,792,792
4,1,806,806
5,1,796,796
6,1,853,853
7,1,765,765
8,1,857,857
9,1,839,839
10,1,809,809
11,1,812,812
12,1,815,815
13,1,762,762
14,1,847,847
15,1,838,838
16,1,789,789
17,1,830,830
18,1,800,800
19,1,785,785
20,1,784,784
21,1,806,806
22,1,792,792
23,1,810,810
24,1,850,850
25,1,807,807
26,1,779,779
27,1,840,840
28,1,860,860
29,1,852,852
30,1,790,790
31,1,765,765
32,1,812,812
33,1,835,835
34,1,795,795
35,1,796,796
36,1,794,794
37,1,850,850
38,1,797,797
39,1,823,823
40,1,860,860
41,1,806,806
42,1,774,774
43,1,787,787
44,1,827,827
45,1,831,831
46,1,776,776
47,1,837,837
48,1,802,802
49,1,809,809
50,1,798,798
51,1,782,782
52,1,745,745
53,1,854,854
54,1,811,811
55,1,807,807
56,1,760,760
57,1,824,824
58,1,807,807
59,1,836,836
60,1,785,785
61,1,824,824
62,1,749,749
63,1,785,785
64,1,840,840
65,1,774,774
66,1,808,808
67,1,817,817
68,1,801,801
69,1,762,762
70,1,794,794
71,1,808,808
72,1,804,804
73,1,765,765
74,1,789,789
75,1,849,849
76,1,846,846
77,1,781,781
78,1,791,791
79,1,798,798
80,1,765,765
81,1,791,791
82,1,809,809
83,1,894,894
84,1,775,775
85,1,767,767
86,1,828,828
87,1,798,798
88,1,861,861
89,1,788,788
90,1,790,790
91,1,771,771
92,1,834,834
93,1,769,769
94,1,806,806
95,1,816,816
96,1,825,825
97,1,804,804
98,1,831,831
99,1,777,777
100,1,803,803
101,1,808,808
102,1,836,836
103,1,795,795
104,1,833,833
105,1,783,783
106,1,780,780
107,1,775,775
108,1,848,848
109,1,825,825
110,1,825,825
111,1,777,777
112,1,769,769
113,1,761,761
114,1,842,842
115,1,826,826
116,1,827,827
117,1,782,782
118,1,801,801
119,1,770,770
120,1,780,780
121,1,813,813
122,1,789,789
123,1,776,776
124,1,802,802
125,1,830,830
126,1,729,729
127,1,814,814
128,1,767,767
129,1,815,815
130,1,851,851
131,1,845,845
132,1,831,831
133,1,805,805
134,1,801,801
135,1,827,827
136,1,807,807
137,1,757,757
138,1,817,817
139,1,825,825
140,1,786,786
141,1,785,785
142,1,793,793
143,1,789,789
144,1,808,808
145,1,804,804
146,1,875,875
147,1,794,794
148,1,805,805
149,1,816,816
150,1,827,827
151,1,848,848
152,1,784,784
153,1,853,853
154,1,794,794
155,1,832,832
,,,#DIV/0!
通道二计数表：,,,#DIV/0!
ID,计数时长(s),计数,#VALUE!
1,3,2511,837
2,3,2463,821
3,3,2442,814
4,3,2383,794.3333333
5,3,2496,832
6,3,2360,786.6666667
7,3,2450,816.6666667
8,3,2438,812.6666667
9,3,2468,822.6666667
10,3,2421,807
11,3,2458,819.3333333
12,3,2446,815.3333333
13,3,2401,800.3333333
14,3,2378,792.6666667
15,3,2418,806
16,3,2464,821.3333333
17,3,2489,829.6666667
18,3,2443,814.3333333
19,3,2427,809
20,3,2386,795.3333333
21,3,2462,820.6666667
22,3,2446,815.3333333
23,3,2371,790.3333333
24,3,2508,836
25,3,2380,793.3333333
26,3,2412,804
27,3,2423,807.6666667
28,3,2464,821.3333333
29,3,2427,809
30,3,2420,806.6666667
31,3,2386,795.3333333
32,3,2404,801.3333333
33,3,2543,847.6666667
34,3,2412,804
35,3,2397,799
36,3,2403,801
37,3,2415,805
38,3,2401,800.3333333
39,3,2404,801.3333333
40,3,2375,791.6666667
41,3,2493,831
42,3,2440,813.3333333
43,3,2455,818.3333333
44,3,2469,823
45,3,2322,774
46,3,2532,844
47,3,2441,813.6666667
48,3,2450,816.6666667
49,3,2409,803
50,3,2449,816.3333333
51,3,2428,809.3333333
52,3,2449,816.3333333
,,平均计数率,811.1025641
