谱信息：
开始时间,20:09:27
测量时间,85.239
死时间,1.003
总计数,250877
通道1道址,通道1计数,通道2道址,通道2计数
391,5,391,5
392,3,392,3
393,7,393,7
394,7,394,7
395,4,395,4
396,7,396,7
397,7,397,7
398,4,398,4
399,3,399,3
400,3,400,3
401,11,401,11
402,4,402,4
403,6,403,6
404,6,404,6
405,4,405,4
406,2,406,2
407,5,407,5
408,6,408,6
409,8,409,8
410,4,410,4
411,6,411,6
412,6,412,6
413,9,413,9
414,5,414,5
415,6,415,6
416,2,416,2
417,7,417,7
418,3,418,3
419,11,419,11
420,4,420,4
421,12,421,12
422,3,422,3
423,7,423,7
424,14,424,14
425,6,425,6
426,10,426,10
427,6,427,6
428,12,428,12
429,5,429,5
430,4,430,4
431,10,431,10
432,9,432,9
433,4,433,4
434,10,434,10
435,4,435,4
436,7,436,7
437,6,437,6
438,7,438,7
439,9,439,9
440,5,440,5
441,2,441,2
442,8,442,8
443,7,443,7
444,8,444,8
445,6,445,6
446,6,446,6
447,3,447,3
448,11,448,11
449,5,449,5
450,7,450,7
451,4,451,4
452,4,452,4
453,5,453,5
454,7,454,7
455,7,455,7
456,8,456,8
457,2,457,2
458,7,458,7
459,2,459,2
460,12,460,12
461,8,461,8
462,3,462,3
463,3,463,3
464,3,464,3
465,9,465,9
466,3,466,3
467,5,467,5
468,5,468,5
469,9,469,9
470,8,470,8
471,5,471,5
472,6,472,6
473,4,473,4
474,9,474,9
475,5,475,5
476,12,476,12
477,9,477,9
478,5,478,5
479,8,479,8
480,3,480,3
481,4,481,4
482,6,482,6
483,2,483,2
484,5,484,5
485,11,485,11
486,4,486,4
487,7,487,7
488,13,488,13
489,7,489,7
490,4,490,4
491,4,491,4
492,5,492,5
493,4,493,4
494,4,494,4
495,6,495,6
496,10,496,10
497,10,497,10
498,6,498,6
499,14,499,14
500,12,500,12
501,2,501,2
502,5,502,5
503,7,503,7
504,9,504,9
505,6,505,6
506,9,506,9
507,4,507,4
508,6,508,6
509,8,509,8
510,3,510,3
511,8,511,8
512,13,512,13
513,4,513,4
514,5,514,5
515,10,515,10
516,12,516,12
517,10,517,10
518,7,518,7
519,3,519,3
520,8,520,8
521,2,521,2
522,4,522,4
523,8,523,8
524,9,524,9
525,2,525,2
526,4,526,4
527,5,527,5
528,8,528,8
529,5,529,5
530,8,530,8
531,6,531,6
532,8,532,8
533,4,533,4
534,11,534,11
535,8,535,8
536,6,536,6
537,3,537,3
538,6,538,6
539,8,539,8
540,6,540,6
541,4,541,4
542,2,542,2
543,3,543,3
544,9,544,9
545,2,545,2
546,6,546,6
547,6,547,6
548,7,548,7
549,9,549,9
550,9,550,9
551,6,551,6
552,8,552,8
553,3,553,3
554,8,554,8
