谱信息：
开始时间,19:53:59
测量时间,60.841
死时间,4.659
总计数,1164965
通道1道址,通道1计数,通道2道址,通道2计数
313,2347,313,2370
314,2246,314,2306
315,2252,315,2431
316,2335,316,2351
317,2341,317,2394
318,2331,318,2248
319,2443,319,2362
320,2343,320,2329
321,2369,321,2376
322,2289,322,2314
323,2327,323,2331
324,2248,324,2359
325,2342,325,2385
326,2346,326,2341
327,2348,327,2325
328,2360,328,2307
329,2309,329,2360
330,2274,330,2362
331,2305,331,2295
332,2412,332,2336
333,2277,333,2308
334,2406,334,2300
335,2320,335,2308
336,2275,336,2248
337,2280,337,2291
338,2327,338,2317
339,2215,339,2249
340,2241,340,2274
341,2276,341,2239
342,2284,342,2187
343,2230,343,2177
344,2129,344,2033
345,2094,345,2052
346,2005,346,2061
347,1908,347,1984
348,1860,348,1926
349,1851,349,1838
350,1859,350,1826
351,1900,351,1949
352,2033,352,2018
353,2130,353,2044
354,2161,354,2175
355,2193,355,2205
356,2254,356,2172
357,2150,357,2137
358,2334,358,2302
359,2215,359,2225
360,2266,360,2327
361,2340,361,2257
362,2336,362,2177
363,2341,363,2259
364,2281,364,2394
365,2291,365,2375
366,2315,366,2294
367,2264,367,2297
368,2289,368,2295
369,2372,369,2271
370,2328,370,2301
371,2367,371,2355
372,2317,372,2314
373,2369,373,2259
374,2307,374,2375
375,2262,375,2247
376,2370,376,2383
377,2289,377,2263
378,2306,378,2298
379,2330,379,2372
380,2366,380,2347
381,2337,381,2286
382,2372,382,2379
383,2401,383,2404
384,2316,384,2299
385,2218,385,2355
386,2294,386,2343
387,2342,387,2349
388,2327,388,2320
389,2254,389,2277
390,2306,390,2301
391,2267,391,2283
392,2404,392,2368
393,2378,393,2224
394,2345,394,2245
395,2274,395,2315
396,2354,396,2312
397,2299,397,2308
398,2354,398,2348
399,2300,399,2364
400,2303,400,2350
401,2331,401,2191
402,2396,402,2296
403,2295,403,2277
404,2339,404,2296
405,2334,405,2371
406,2287,406,2354
407,2343,407,2260
408,2283,408,2243
409,2301,409,2203
410,2306,410,2244
411,2251,411,2244
412,2167,412,2308
413,2160,413,2142
414,2186,414,2182
415,2110,415,2079
416,2041,416,2036
417,1962,417,1943
418,1896,418,1853
419,1802,419,1833
420,1795,420,1859
421,1815,421,1770
422,1860,422,1909
423,1909,423,1888
424,2014,424,1967
425,2071,425,2063
426,2041,426,2026
427,2220,427,2234
428,2194,428,2193
429,2254,429,2117
430,2185,430,2222
431,2231,431,2275
432,2268,432,2267
433,2266,433,2331
434,2348,434,2274
435,2225,435,2292
436,2308,436,2300
437,2255,437,2314
438,2346,438,2313
439,2363,439,2328
440,2362,440,2254
441,2409,441,2322
442,2444,442,2327
443,2392,443,2328
444,2364,444,2344
445,2354,445,2361
446,2251,446,2287
447,2340,447,2364
448,2288,448,2320
449,2349,449,2351
450,2321,450,2371
451,2265,451,2336
452,2309,452,2350
453,2239,453,2355
454,2334,454,2350
455,2426,455,2306
456,2318,456,2364
457,2323,457,2384
458,2479,458,2308
459,2356,459,2266
460,2307,460,2285
461,2389,461,2333
462,2292,462,2369
463,2271,463,2363
464,2369,464,2347
465,2306,465,2284
466,2354,466,2331
467,2359,467,2354
468,2265,468,2333
469,2276,469,2337
470,2327,470,2352
471,2371,471,2345
472,2277,472,2223
473,2370,473,2363
474,2300,474,2454
475,2336,475,2311
476,2359,476,2387
477,2355,477,2390
478,2373,478,2359
479,2315,479,2331
480,2318,480,2306
481,2312,481,2332
482,2346,482,2335
483,2387,483,2419
484,2304,484,2343
485,2341,485,2356
486,2302,486,2327
487,2401,487,2371
488,2404,488,2186
489,2284,489,2333
490,2306,490,2433
491,2355,491,2400
492,2456,492,2304
493,2488,493,2360
494,2351,494,2403
495,2335,495,2384
496,2359,496,2413
497,2404,497,2359
498,2326,498,2327
499,2285,499,2386
500,2411,500,2301
501,2341,501,2421
502,2408,502,2350
503,2433,503,2408
504,2395,504,2274
505,2366,505,2343
506,2352,506,2343
507,2322,507,2319
508,2374,508,2386
509,2342,509,2348
510,2226,510,2384
511,2378,511,2410
