通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,18362,6120.666667,6069.916667,42.1372582,0.006953389
2,3,18503,6167.666667,6116.916667,,
3,3,18184,6061.333333,6010.583333,,
4,3,18172,6057.333333,6006.583333,,
5,3,18240,6080,6029.25,,
6,3,18353,6117.666667,6066.916667,,
7,3,18272,6090.666667,6039.916667,,
8,3,18359,6119.666667,6068.916667,,
9,3,18420,6140,6089.25,,
10,3,18325,6108.333333,6057.583333,,
11,3,18229,6076.333333,6025.583333,,
12,3,18483,6161,6110.25,,
13,3,18224,6074.666667,6023.916667,,
14,3,18469,6156.333333,6105.583333,,
15,3,18267,6089,6038.25,,
16,3,18454,6151.333333,6100.583333,,
17,3,18224,6074.666667,6023.916667,,
18,3,18681,6227,6176.25,,
19,3,18340,6113.333333,6062.583333,,
20,3,18354,6118,6067.25,,
21,3,18315,6105,6054.25,,
22,3,18244,6081.333333,6030.583333,,
23,3,18165,6055,6004.25,,
,,,,6059.960145,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,18296,,,,
2,3,18528,,,,
3,3,18404,,,,
4,3,18626,,,,
5,3,18445,,,,
6,3,18225,,,,
7,3,18515,,,,
8,3,18281,,,,
9,3,18480,,,,
10,3,18456,,,,
11,3,18439,,,,
12,3,18339,,,,
13,3,18406,,,,
14,3,18296,,,,
15,3,18411,,,,
16,3,18496,,,,
17,3,18101,,,,
18,3,18353,,,,
19,3,18255,,,,
20,3,18438,,,,
21,3,18367,,,,
22,3,18336,,,,
23,3,18467,,,,
