通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,7096,2365.333333,2314.583333,24.9419939,0.010726073
2,3,7081,2360.333333,2309.583333,,
3,3,7207,2402.333333,2351.583333,,
4,3,7071,2357,2306.25,,
5,3,7225,2408.333333,2357.583333,,
6,3,7165,2388.333333,2337.583333,,
7,3,7067,2355.666667,2304.916667,,
8,3,7212,2404,2353.25,,
9,3,7154,2384.666667,2333.916667,,
10,3,7197,2399,2348.25,,
11,3,7089,2363,2312.25,,
12,3,7008,2336,2285.25,,
13,3,7090,2363.333333,2312.583333,,
14,3,7147,2382.333333,2331.583333,,
15,3,7096,2365.333333,2314.583333,,
16,3,7249,2416.333333,2365.583333,,
17,3,7027,2342.333333,2291.583333,,
18,3,7000,2333.333333,2282.583333,,
19,3,7155,2385,2334.25,,
20,3,7186,2395.333333,2344.583333,,
21,3,7138,2379.333333,2328.583333,,
22,3,7185,2395,2344.25,,
23,3,7221,2407,2356.25,,
24,3,7014,2338,2287.25,,
,,,,2325.361111,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,7111,,,,
2,3,7145,,,,
3,3,7184,,,,
4,3,7093,,,,
5,3,7116,,,,
6,3,7083,,,,
7,3,7249,,,,
8,3,7185,,,,
9,3,7003,,,,
10,3,7050,,,,
11,3,7135,,,,
12,3,7134,,,,
13,3,6996,,,,
14,3,6973,,,,
15,3,7195,,,,
16,3,7159,,,,
17,3,7204,,,,
18,3,7075,,,,
19,3,7172,,,,
20,3,6989,,,,
21,3,7166,,,,
22,3,7176,,,,
23,3,7148,,,,
24,3,7167,,,,
