通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3812,1270.666667,1219.916667,21.13480168,0.017497534
2,3,3785,1261.666667,1210.916667,,
3,3,3698,1232.666667,1181.916667,,
4,3,3791,1263.666667,1212.916667,,
5,3,3741,1247,1196.25,,
6,3,3775,1258.333333,1207.583333,,
7,3,3826,1275.333333,1224.583333,,
8,3,3827,1275.666667,1224.916667,,
9,3,3906,1302,1251.25,,
10,3,3664,1221.333333,1170.583333,,
11,3,3755,1251.666667,1200.916667,,
12,3,3771,1257,1206.25,,
13,3,3771,1257,1206.25,,
14,3,3881,1293.666667,1242.916667,,
15,3,3796,1265.333333,1214.583333,,
16,3,3833,1277.666667,1226.916667,,
17,3,3798,1266,1215.25,,
18,3,3778,1259.333333,1208.583333,,
19,3,3832,1277.333333,1226.583333,,
20,3,3658,1219.333333,1168.583333,,
21,3,3715,1238.333333,1187.583333,,
22,3,3690,1230,1179.25,,
23,3,3742,1247.333333,1196.583333,,
,,,,1207.873188,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3911,,,,
2,3,3754,,,,
3,3,3807,,,,
4,3,3860,,,,
5,3,3873,,,,
6,3,3828,,,,
7,3,3905,,,,
8,3,3754,,,,
9,3,3797,,,,
10,3,3726,,,,
11,3,3780,,,,
12,3,3704,,,,
13,3,3778,,,,
14,3,3770,,,,
15,3,3745,,,,
16,3,3878,,,,
17,3,3852,,,,
18,3,3828,,,,
19,3,3908,,,,
20,3,3879,,,,
21,3,3782,,,,
22,3,3808,,,,
23,3,3710,,,,
