通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2540,,,,
2,3,2481,,,,
3,3,2518,,,,
4,3,2491,,,,
5,3,2500,,,,
6,3,2535,,,,
7,3,2607,,,,
8,3,2494,,,,
9,3,2607,,,,
10,3,2518,,,,
11,3,2513,,,,
12,3,2596,,,,
13,3,2520,,,,
14,3,2536,,,,
15,3,2505,,,,
16,3,2573,,,,
17,3,2473,,,,
18,3,2488,,,,
19,3,2499,,,,
20,3,2508,,,,
21,3,2502,,,,
22,3,2521,,,,
,,,,,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,5,4285,857,806.25,16.93713868,0.021255115
2,5,4317,863.4,812.65,,
3,5,4385,877,826.25,,
4,5,4266,853.2,802.45,,
5,5,4311,862.2,811.45,,
6,5,4095,819,768.25,,
7,5,4235,847,796.25,,
8,5,4288,857.6,806.85,,
9,5,4228,845.6,794.85,,
10,5,4248,849.6,798.85,,
11,5,4123,824.6,773.85,,
12,5,4146,829.2,778.45,,
13,5,4167,833.4,782.65,,
,,,,796.85,,
