通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2634,,,,
2,3,2577,,,,
3,3,2661,,,,
4,3,2606,,,,
5,3,2604,,,,
6,3,2606,,,,
7,3,2618,,,,
8,3,2620,,,,
9,3,2613,,,,
10,3,2616,,,,
11,3,2455,,,,
12,3,2631,,,,
13,3,2746,,,,
14,3,2763,,,,
15,3,2646,,,,
16,3,2626,,,,
17,3,2625,,,,
18,3,2603,,,,
19,3,2622,,,,
20,3,2670,,,,
21,3,2627,,,,
22,3,2576,,,,
,,,,,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,5,4434,886.8,836.05,15.11148315,0.018309694
2,5,4275,855,804.25,,
3,5,4365,873,822.25,,
4,5,4298,859.6,808.85,,
5,5,4352,870.4,819.65,,
6,5,4339,867.8,817.05,,
7,5,4305,861,810.25,,
8,5,4337,867.4,816.65,,
9,5,4393,878.6,827.85,,
10,5,4505,901,850.25,,
11,5,4402,880.4,829.65,,
12,5,4419,883.8,833.05,,
13,5,4521,904.2,853.45,,
,,,,825.3269231,,
