通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,4642,1547.333333,1496.583333,23.65171455,0.016097021
2,3,4614,1538,1487.25,,
3,3,4538,1512.666667,1461.916667,,
4,3,4393,1464.333333,1413.583333,,
5,3,4493,1497.666667,1446.916667,,
6,3,4634,1544.666667,1493.916667,,
7,3,4412,1470.666667,1419.916667,,
8,3,4637,1545.666667,1494.916667,,
9,3,4606,1535.333333,1484.583333,,
10,3,4531,1510.333333,1459.583333,,
11,3,4462,1487.333333,1436.583333,,
12,3,4640,1546.666667,1495.916667,,
13,3,4566,1522,1471.25,,
14,3,4616,1538.666667,1487.916667,,
15,3,4526,1508.666667,1457.916667,,
16,3,4659,1553,1502.25,,
17,3,4563,1521,1470.25,,
18,3,4565,1521.666667,1470.916667,,
19,3,4577,1525.666667,1474.916667,,
20,3,4525,1508.333333,1457.583333,,
21,3,4553,1517.666667,1466.916667,,
22,3,4557,1519,1468.25,,
23,3,4576,1525.333333,1474.583333,,
,,,,1469.322464,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,4626,,,,
2,3,4620,,,,
3,3,4547,,,,
4,3,4750,,,,
5,3,4568,,,,
6,3,4620,,,,
7,3,4582,,,,
8,3,4481,,,,
9,3,4567,,,,
10,3,4634,,,,
11,3,4595,,,,
12,3,4608,,,,
13,3,4572,,,,
14,3,4664,,,,
15,3,4592,,,,
16,3,4677,,,,
17,3,4611,,,,
18,3,4690,,,,
19,3,4595,,,,
20,3,4633,,,,
21,3,4494,,,,
22,3,4530,,,,
23,3,4486,,,,
