通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2157,,,,
2,3,2204,,,,
3,3,2246,,,,
4,3,2202,,,,
5,3,2282,,,,
6,3,2326,,,,
7,3,2278,,,,
8,3,2201,,,,
9,3,2265,,,,
10,3,2255,,,,
11,3,2164,,,,
12,3,2125,,,,
13,3,2239,,,,
14,3,2179,,,,
15,3,2178,,,,
16,3,2260,,,,
17,3,2198,,,,
18,3,2203,,,,
19,3,2234,,,,
20,3,2235,,,,
21,3,2205,,,,
22,3,2311,,,,
23,3,2216,,,,
24,3,2251,,,,
25,3,2190,,,,
26,3,2227,,,,
27,3,2276,,,,
28,3,2213,,,,
,,,,,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,5,3718,743.6,692.85,13.79448561,0.020011222
2,5,3757,751.4,700.65,,
3,5,3718,743.6,692.85,,
4,5,3558,711.6,660.85,,
5,5,3626,725.2,674.45,,
6,5,3682,736.4,685.65,,
7,5,3801,760.2,709.45,,
8,5,3784,756.8,706.05,,
9,5,3764,752.8,702.05,,
10,5,3661,732.2,681.45,,
11,5,3626,725.2,674.45,,
12,5,3693,738.6,687.85,,
13,5,3656,731.2,680.45,,
14,5,3745,749,698.25,,
15,5,3776,755.2,704.45,,
16,5,3642,728.4,677.65,,
,,,,689.3375,,
