通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,10940,3646.666667,3595.916667,32.89844103,0.009345754
2,3,10725,3575,3524.25,,
3,3,10712,3570.666667,3519.916667,,
4,3,10821,3607,3556.25,,
5,3,10865,3621.666667,3570.916667,,
6,3,10655,3551.666667,3500.916667,,
7,3,10766,3588.666667,3537.916667,,
8,3,10630,3543.333333,3492.583333,,
9,3,10793,3597.666667,3546.916667,,
10,3,10724,3574.666667,3523.916667,,
11,3,10655,3551.666667,3500.916667,,
12,3,10753,3584.333333,3533.583333,,
13,3,10641,3547,3496.25,,
14,3,10723,3574.333333,3523.583333,,
15,3,10731,3577,3526.25,,
16,3,10793,3597.666667,3546.916667,,
17,3,10617,3539,3488.25,,
18,3,10545,3515,3464.25,,
19,3,10595,3531.666667,3480.916667,,
20,3,10569,3523,3472.25,,
21,3,10624,3541.333333,3490.583333,,
22,3,10818,3606,3555.25,,
23,3,10697,3565.666667,3514.916667,,
,,,,3520.148551,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,10790,,,,
2,3,10673,,,,
3,3,10477,,,,
4,3,10660,,,,
5,3,10682,,,,
6,3,10584,,,,
7,3,10717,,,,
8,3,10594,,,,
9,3,10723,,,,
10,3,10514,,,,
11,3,10535,,,,
12,3,10657,,,,
13,3,10740,,,,
14,3,10681,,,,
15,3,10836,,,,
16,3,10858,,,,
17,3,10706,,,,
18,3,10738,,,,
19,3,10783,,,,
20,3,10648,,,,
21,3,10855,,,,
22,3,10697,,,,
23,3,10672,,,,
