通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2069,,,,
2,3,2152,,,,
3,3,2056,,,,
4,3,2099,,,,
5,3,2206,,,,
6,3,2153,,,,
7,3,2212,,,,
8,3,2103,,,,
9,3,2153,,,,
10,3,2167,,,,
11,3,2092,,,,
12,3,2124,,,,
13,3,2140,,,,
14,3,2203,,,,
15,3,2206,,,,
16,3,2121,,,,
17,3,2102,,,,
18,3,2179,,,,
19,3,2176,,,,
20,3,2058,,,,
21,3,2193,,,,
22,3,2172,,,,
23,3,2178,,,,
,,,,,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,5,3463,692.6,641.85,13.20702999,0.019845848
2,5,3486,697.2,646.45,,
3,5,3589,717.8,667.05,,
4,5,3584,716.8,666.05,,
5,5,3555,711,660.25,,
6,5,3648,729.6,678.85,,
7,5,3680,736,685.25,,
8,5,3594,718.8,668.05,,
9,5,3549,709.8,659.05,,
10,5,3586,717.2,666.45,,
11,5,3650,730,679.25,,
12,5,3521,704.2,653.45,,
13,5,3650,730,679.25,,
,,,,665.4807692,,
