通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3536,1178.666667,1127.916667,16.73144416,0.014533636
2,3,3581,1193.666667,1142.916667,,
3,3,3522,1174,1123.25,,
4,3,3601,1200.333333,1149.583333,,
5,3,3534,1178,1127.25,,
6,3,3639,1213,1162.25,,
7,3,3557,1185.666667,1134.916667,,
8,3,3606,1202,1151.25,,
9,3,3600,1200,1149.25,,
10,3,3616,1205.333333,1154.583333,,
11,3,3645,1215,1164.25,,
12,3,3697,1232.333333,1181.583333,,
13,3,3603,1201,1150.25,,
14,3,3549,1183,1132.25,,
15,3,3657,1219,1168.25,,
16,3,3675,1225,1174.25,,
17,3,3628,1209.333333,1158.583333,,
18,3,3657,1219,1168.25,,
19,3,3572,1190.666667,1139.916667,,
20,3,3539,1179.666667,1128.916667,,
21,3,3619,1206.333333,1155.583333,,
22,3,3587,1195.666667,1144.916667,,
23,3,3681,1227,1176.25,,
24,3,3641,1213.666667,1162.916667,,
,,,,1151.222222,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3459,,,,
2,3,3696,,,,
3,3,3590,,,,
4,3,3573,,,,
5,3,3595,,,,
6,3,3739,,,,
7,3,3615,,,,
8,3,3565,,,,
9,3,3597,,,,
10,3,3610,,,,
11,3,3607,,,,
12,3,3580,,,,
13,3,3573,,,,
14,3,3538,,,,
15,3,3556,,,,
16,3,3508,,,,
17,3,3517,,,,
18,3,3487,,,,
19,3,3484,,,,
20,3,3533,,,,
21,3,3561,,,,
22,3,3641,,,,
23,3,3491,,,,
24,3,3619,,,,
