通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,35205,11735,11684.25,57.38484934,0.004942555
2,3,35111,11703.66667,11652.91667,,
3,3,34726,11575.33333,11524.58333,,
4,3,35055,11685,11634.25,,
5,3,35252,11750.66667,11699.91667,,
6,3,34781,11593.66667,11542.91667,,
7,3,34722,11574,11523.25,,
8,3,35088,11696,11645.25,,
9,3,34685,11561.66667,11510.91667,,
10,3,35150,11716.66667,11665.91667,,
11,3,34834,11611.33333,11560.58333,,
12,3,34914,11638,11587.25,,
13,3,34953,11651,11600.25,,
14,3,34990,11663.33333,11612.58333,,
15,3,34951,11650.33333,11599.58333,,
16,3,35134,11711.33333,11660.58333,,
17,3,35110,11703.33333,11652.58333,,
18,3,34717,11572.33333,11521.58333,,
19,3,35078,11692.66667,11641.91667,,
20,3,35223,11741,11690.25,,
21,3,34858,11619.33333,11568.58333,,
22,3,34946,11648.66667,11597.91667,,
23,3,35091,11697,11646.25,,
24,3,35026,11675.33333,11624.58333,,
,,,,11610.36111,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,34873,,,,
2,3,35014,,,,
3,3,34863,,,,
4,3,35199,,,,
5,3,34973,,,,
6,3,35204,,,,
7,3,35035,,,,
8,3,34750,,,,
9,3,35007,,,,
10,3,34637,,,,
11,3,35031,,,,
12,3,34846,,,,
13,3,34889,,,,
14,3,34987,,,,
15,3,35051,,,,
16,3,34742,,,,
17,3,34935,,,,
18,3,34811,,,,
19,3,35025,,,,
20,3,35332,,,,
21,3,34886,,,,
22,3,34814,,,,
23,3,34714,,,,
24,3,35299,,,,
