通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3444,1148,1097.25,17.4545655,0.016065508
2,3,3487,1162.333333,1111.583333,,
3,3,3451,1150.333333,1099.583333,,
4,3,3467,1155.666667,1104.916667,,
5,3,3418,1139.333333,1088.583333,,
6,3,3436,1145.333333,1094.583333,,
7,3,3335,1111.666667,1060.916667,,
8,3,3396,1132,1081.25,,
9,3,3398,1132.666667,1081.916667,,
10,3,3437,1145.666667,1094.916667,,
11,3,3417,1139,1088.25,,
12,3,3329,1109.666667,1058.916667,,
13,3,3464,1154.666667,1103.916667,,
14,3,3295,1098.333333,1047.583333,,
15,3,3398,1132.666667,1081.916667,,
16,3,3485,1161.666667,1110.916667,,
17,3,3414,1138,1087.25,,
18,3,3366,1122,1071.25,,
19,3,3435,1145,1094.25,,
20,3,3452,1150.666667,1099.916667,,
21,3,3393,1131,1080.25,,
22,3,3339,1113,1062.25,,
,,,,1086.462121,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3451,,,,
2,3,3392,,,,
3,3,3491,,,,
4,3,3393,,,,
5,3,3397,,,,
6,3,3349,,,,
7,3,3347,,,,
8,3,3411,,,,
9,3,3407,,,,
10,3,3416,,,,
11,3,3444,,,,
12,3,3487,,,,
13,3,3338,,,,
14,3,3389,,,,
15,3,3395,,,,
16,3,3485,,,,
17,3,3344,,,,
18,3,3282,,,,
19,3,3390,,,,
20,3,3465,,,,
21,3,3414,,,,
22,3,3442,,,,
