通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2988,996,945.25,15.45695427,0.016355499
2,3,2982,994,943.25,,
3,3,3016,1005.333333,954.5833333,,
4,3,3070,1023.333333,972.5833333,,
5,3,2954,984.6666667,933.9166667,,
6,3,3010,1003.333333,952.5833333,,
7,3,2990,996.6666667,945.9166667,,
8,3,2924,974.6666667,923.9166667,,
9,3,3039,1013,962.25,,
10,3,3049,1016.333333,965.5833333,,
11,3,2994,998,947.25,,
12,3,2945,981.6666667,930.9166667,,
13,3,2945,981.6666667,930.9166667,,
14,3,2938,979.3333333,928.5833333,,
15,3,2941,980.3333333,929.5833333,,
16,3,2962,987.3333333,936.5833333,,
17,3,3012,1004,953.25,,
18,3,3009,1003,952.25,,
19,3,2914,971.3333333,920.5833333,,
20,3,3015,1005,954.25,,
21,3,2977,992.3333333,941.5833333,,
22,3,2950,983.3333333,932.5833333,,
23,3,3087,1029,978.25,,
,,,,945.0615942,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3070,,,,
2,3,2895,,,,
3,3,3080,,,,
4,3,2958,,,,
5,3,2869,,,,
6,3,2926,,,,
7,3,2986,,,,
8,3,3031,,,,
9,3,3019,,,,
10,3,2915,,,,
11,3,2966,,,,
12,3,3104,,,,
13,3,3022,,,,
14,3,3013,,,,
15,3,3111,,,,
16,3,3073,,,,
17,3,2997,,,,
18,3,2950,,,,
19,3,2948,,,,
20,3,2856,,,,
21,3,2964,,,,
22,3,3071,,,,
23,3,2977,,,,
