通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,4029,,,,
2,3,4139,,,,
3,3,4059,,,,
4,3,4016,,,,
5,3,4075,,,,
6,3,4143,,,,
7,3,4099,,,,
8,3,4152,,,,
9,3,4198,,,,
10,3,4147,,,,
11,3,3899,,,,
12,3,3972,,,,
13,3,4139,,,,
14,3,4062,,,,
15,3,4020,,,,
16,3,4169,,,,
17,3,4133,,,,
18,3,4028,,,,
19,3,4092,,,,
20,3,4160,,,,
21,3,4018,,,,
22,3,4062,,,,
23,3,4090,,,,
24,3,4123,,,,
25,3,4120,,,,
26,3,4130,,,,
,,,,,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,4033,1344.333333,1293.583333,24.32843646,0.018413912
2,3,4104,1368,1317.25,,
3,3,4160,1386.666667,1335.916667,,
4,3,4234,1411.333333,1360.583333,,
5,3,4121,1373.666667,1322.916667,,
6,3,4102,1367.333333,1316.583333,,
7,3,4077,1359,1308.25,,
8,3,4019,1339.666667,1288.916667,,
9,3,4103,1367.666667,1316.916667,,
10,3,4201,1400.333333,1349.583333,,
11,3,4196,1398.666667,1347.916667,,
12,3,4140,1380,1329.25,,
13,3,4155,1385,1334.25,,
14,3,4094,1364.666667,1313.916667,,
15,3,4253,1417.666667,1366.916667,,
16,3,4162,1387.333333,1336.583333,,
17,3,4080,1360,1309.25,,
18,3,4038,1346,1295.25,,
19,3,4129,1376.333333,1325.583333,,
20,3,4197,1399,1348.25,,
21,3,3954,1318,1267.25,,
22,3,4012,1337.333333,1286.583333,,
23,3,4093,1364.333333,1313.583333,,
24,3,4199,1399.666667,1348.916667,,
25,3,4092,1364,1313.25,,
26,3,4064,1354.666667,1303.916667,,
,,,,1321.198718,,
