通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3115,1038.333333,987.5833333,22.11585655,0.022326094
2,3,3100,1033.333333,982.5833333,,
3,3,3011,1003.666667,952.9166667,,
4,3,3198,1066,1015.25,,
5,3,3141,1047,996.25,,
6,3,3175,1058.333333,1007.583333,,
7,3,3144,1048,997.25,,
8,3,3181,1060.333333,1009.583333,,
9,3,3116,1038.666667,987.9166667,,
10,3,3155,1051.666667,1000.916667,,
11,3,3115,1038.333333,987.5833333,,
12,3,3059,1019.666667,968.9166667,,
13,3,3066,1022,971.25,,
14,3,3103,1034.333333,983.5833333,,
15,3,2999,999.6666667,948.9166667,,
16,3,3132,1044,993.25,,
17,3,3143,1047.666667,996.9166667,,
18,3,3051,1017,966.25,,
19,3,3212,1070.666667,1019.916667,,
20,3,3049,1016.333333,965.5833333,,
21,3,3230,1076.666667,1025.916667,,
22,3,3233,1077.666667,1026.916667,,
,,,,990.5833333,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,3035,1011.666667,960.9166667,19.32428136,0.019532779
2,3,3135,1045,994.25,,
3,3,3109,1036.333333,985.5833333,,
4,3,3206,1068.666667,1017.916667,,
5,3,3189,1063,1012.25,,
6,3,3109,1036.333333,985.5833333,,
7,3,3042,1014,963.25,,
8,3,3053,1017.666667,966.9166667,,
9,3,3123,1041,990.25,,
10,3,3027,1009,958.25,,
11,3,3139,1046.333333,995.5833333,,
12,3,3106,1035.333333,984.5833333,,
13,3,3164,1054.666667,1003.916667,,
14,3,3069,1023,972.25,,
15,3,3128,1042.666667,991.9166667,,
16,3,3197,1065.666667,1014.916667,,
17,3,3147,1049,998.25,,
18,3,3156,1052,1001.25,,
19,3,3021,1007,956.25,,
20,3,3187,1062.333333,1011.583333,,
21,3,3119,1039.666667,988.9166667,,
22,3,3184,1061.333333,1010.583333,,
,,,,989.3257576,,
