通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2409,,,,
2,3,2445,,,,
3,3,2385,,,,
4,3,2397,,,,
5,3,2399,,,,
6,3,2420,,,,
7,3,2409,,,,
8,3,2455,,,,
9,3,2400,,,,
10,3,2457,,,,
11,3,2360,,,,
12,3,2348,,,,
13,3,2388,,,,
14,3,2444,,,,
15,3,2401,,,,
16,3,2425,,,,
17,3,2406,,,,
18,3,2387,,,,
19,3,2450,,,,
20,3,2397,,,,
21,3,2502,,,,
22,3,2423,,,,
23,3,2443,,,,
24,3,2372,,,,
,,,,,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,5,4070,814,763.25,13.86525423,0.018265901
2,5,4145,829,778.25,,
3,5,3940,788,737.25,,
4,5,4128,825.6,774.85,,
5,5,4057,811.4,760.65,,
6,5,4033,806.6,755.85,,
7,5,3911,782.2,731.45,,
8,5,4037,807.4,756.65,,
9,5,4087,817.4,766.65,,
10,5,4034,806.8,756.05,,
11,5,4014,802.8,752.05,,
12,5,3998,799.6,748.85,,
13,5,4132,826.4,775.65,,
14,5,4102,820.4,769.65,,
,,56688,,759.0785714,,
,,7558.4,,,,
