通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2291,,,,
2,3,2381,,,,
3,3,2237,,,,
4,3,2266,,,,
5,3,2362,,,,
6,3,2325,,,,
7,3,2386,,,,
8,3,2387,,,,
9,3,2292,,,,
10,3,2290,,,,
11,3,2290,,,,
12,3,2320,,,,
13,3,2382,,,,
14,3,2297,,,,
15,3,2324,,,,
16,3,2270,,,,
17,3,2360,,,,
18,3,2352,,,,
19,3,2395,,,,
20,3,2386,,,,
21,3,2304,,,,
22,3,2433,,,,
23,3,2357,,,,
,,,,,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,5,3863,772.6,721.85,11.63515892,0.016147608
2,5,3837,767.4,716.65,,
3,5,3798,759.6,708.85,,
4,5,3859,771.8,721.05,,
5,5,3993,798.6,747.85,,
6,5,3796,759.2,708.45,,
7,5,3823,764.6,713.85,,
8,5,3831,766.2,715.45,,
9,5,3813,762.6,711.85,,
10,5,3810,762,711.25,,
11,5,3883,776.6,725.85,,
12,5,3937,787.4,736.65,,
13,5,3920,784,733.25,,
14,5,3828,765.6,714.85,,
,,,,720.55,,
