通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2781,,,,
2,3,2802,,,,
3,3,2717,,,,
4,3,2698,,,,
5,3,2660,,,,
6,3,2767,,,,
7,3,2813,,,,
8,3,2684,,,,
9,3,2717,,,,
10,3,2904,,,,
11,3,2801,,,,
12,3,2780,,,,
13,3,2783,,,,
14,3,2708,,,,
15,3,2763,,,,
16,3,2812,,,,
17,3,2809,,,,
18,3,2653,,,,
19,3,2689,,,,
20,3,2745,,,,
21,3,2741,,,,
22,3,2810,,,,
,,,,,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2728,909.3333333,858.5833333,15.08772647,0.017550825
2,3,2790,930,879.25,,
3,3,2754,918,867.25,,
4,3,2712,904,853.25,,
5,3,2738,912.6666667,861.9166667,,
6,3,2749,916.3333333,865.5833333,,
7,3,2681,893.6666667,842.9166667,,
8,3,2688,896,845.25,,
9,3,2816,938.6666667,887.9166667,,
10,3,2742,914,863.25,,
11,3,2732,910.6666667,859.9166667,,
12,3,2756,918.6666667,867.9166667,,
13,3,2707,902.3333333,851.5833333,,
14,3,2665,888.3333333,837.5833333,,
15,3,2719,906.3333333,855.5833333,,
16,3,2817,939,888.25,,
17,3,2656,885.3333333,834.5833333,,
18,3,2693,897.6666667,846.9166667,,
19,3,2762,920.6666667,869.9166667,,
20,3,2684,894.6666667,843.9166667,,
21,3,2785,928.3333333,877.5833333,,
22,3,2713,904.3333333,853.5833333,,
,,,,859.6590909,,
