通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2923,974.3333333,923.5833333,19.97913775,0.021967349
2,3,2973,991,940.25,,
3,3,2945,981.6666667,930.9166667,,
4,3,2922,974,923.25,,
5,3,2783,927.6666667,876.9166667,,
6,3,2837,945.6666667,894.9166667,,
7,3,2957,985.6666667,934.9166667,,
8,3,2812,937.3333333,886.5833333,,
9,3,2937,979,928.25,,
10,3,2885,961.6666667,910.9166667,,
11,3,2835,945,894.25,,
12,3,2856,952,901.25,,
13,3,2809,936.3333333,885.5833333,,
14,3,2859,953,902.25,,
15,3,2994,998,947.25,,
16,3,2851,950.3333333,899.5833333,,
17,3,2927,975.6666667,924.9166667,,
18,3,2816,938.6666667,887.9166667,,
19,3,2904,968,917.25,,
20,3,2870,956.6666667,905.9166667,,
21,3,2871,957,906.25,,
22,3,2810,936.6666667,885.9166667,,
,,,,909.4924242,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,2849,949.6666667,898.9166667,21.92192298,0.024205491
2,3,2802,934,883.25,,
3,3,2920,973.3333333,922.5833333,,
4,3,2822,940.6666667,889.9166667,,
5,3,2857,952.3333333,901.5833333,,
6,3,2963,987.6666667,936.9166667,,
7,3,2758,919.3333333,868.5833333,,
8,3,2787,929,878.25,,
9,3,2817,939,888.25,,
10,3,2823,941,890.25,,
11,3,3005,1001.666667,950.9166667,,
12,3,2950,983.3333333,932.5833333,,
13,3,2809,936.3333333,885.5833333,,
14,3,2802,934,883.25,,
15,3,2916,972,921.25,,
16,3,2862,954,903.25,,
17,3,2867,955.6666667,904.9166667,,
18,3,2900,966.6666667,915.9166667,,
19,3,2920,973.3333333,922.5833333,,
20,3,2884,961.3333333,910.5833333,,
21,3,2848,949.3333333,898.5833333,,
22,3,2962,987.3333333,936.5833333,,
,,,,905.6590909,,
