谱信息：
开始时间,20:01:13
测量时间,263.990
死时间,19.695
总计数,4923767
通道1道址,通道1计数,通道2道址,通道2计数
313,9738,313,9665
314,9547,314,9727
315,9949,315,9505
316,9791,316,9878
317,9775,317,9674
318,9519,318,9696
319,9711,319,9736
320,9608,320,9522
321,9541,321,9625
322,9428,322,9603
323,9622,323,9540
324,9267,324,9410
325,9145,325,9188
326,8950,326,8877
327,8734,327,8758
328,8315,328,8484
329,7989,329,8157
330,7848,330,7761
331,8088,331,7833
332,8296,332,8160
333,8611,333,8589
334,8913,334,8855
335,9082,335,9221
336,9426,336,9357
337,9496,337,9564
338,9498,338,9487
339,9579,339,9776
340,9497,340,9522
341,9556,341,9645
342,9535,342,9711
343,9780,343,9729
344,9908,344,9668
345,9719,345,9832
346,9498,346,9760
347,9966,347,9657
348,9852,348,9548
349,9820,349,9737
350,9795,350,9785
351,9826,351,9602
352,9875,352,9761
353,9852,353,9898
354,9770,354,9680
355,9781,355,9938
356,9817,356,9781
357,9672,357,9752
358,9787,358,9986
359,9885,359,9759
360,9972,360,9734
361,9847,361,9883
362,9755,362,9809
363,9899,363,9696
364,9733,364,9825
365,9697,365,9727
366,9662,366,9854
367,9610,367,9675
368,9672,368,9736
369,9755,369,9861
370,9766,370,9715
371,9738,371,9631
372,9740,372,9732
373,9649,373,9608
374,9778,374,9788
375,9721,375,9690
376,9632,376,9584
377,9644,377,9605
378,9458,378,9462
379,9438,379,9372
380,9455,380,9402
381,9190,381,9133
382,8886,382,9111
383,8766,383,8606
384,8374,384,8407
385,8018,385,8074
386,8008,386,7579
387,7383,387,7416
388,7479,388,7508
389,7899,389,7559
390,8250,390,8108
391,8429,391,8390
392,8735,392,8904
393,8934,393,9068
394,9288,394,9346
395,9248,395,9228
396,9381,396,9498
397,9579,397,9307
398,9747,398,9513
399,9585,399,9548
400,9847,400,9755
401,9557,401,9670
402,9732,402,9697
403,9822,403,9739
404,9896,404,9625
405,9539,405,9662
406,9591,406,9745
407,9799,407,9624
408,9922,408,9756
409,9811,409,9768
410,9847,410,9986
411,9813,411,9881
412,9656,412,9805
413,9858,413,9780
414,9791,414,9802
415,9784,415,9762
416,9741,416,10082
417,9868,417,9715
418,9807,418,9801
419,9788,419,9883
420,9819,420,9929
421,9845,421,9525
422,9793,422,9984
423,10005,423,9825
424,9907,424,9796
425,9861,425,9946
426,9833,426,9967
427,9966,427,9773
428,9854,428,9831
429,9767,429,9803
430,10024,430,9885
431,9920,431,9866
432,9920,432,9941
433,9763,433,9757
434,9758,434,9826
435,9922,435,9793
436,10009,436,9856
437,9903,437,9849
438,9737,438,9860
439,10047,439,9913
440,9774,440,9881
441,9956,441,10014
442,9668,442,9730
443,9862,443,9972
444,9743,444,9853
445,9833,445,10032
446,9773,446,9908
447,9784,447,9953
448,9740,448,9753
449,9736,449,9719
450,10065,450,9804
451,10016,451,9872
452,9838,452,9725
453,9770,453,9812
454,10090,454,9849
455,9875,455,9946
456,9958,456,9749
457,10028,457,9846
458,9946,458,9743
459,9939,459,9713
460,9935,460,9782
461,9907,461,9810
462,9861,462,9839
463,9777,463,9922
464,10050,464,9957
465,10048,465,9744
466,9690,466,9937
