谱信息：
开始时间,19:37:54
测量时间,270.356
死时间,20.675
总计数,5168987
通道1道址,通道1计数,通道2道址,通道2计数
313,10207,313,10267
314,10075,314,10372
315,10480,315,10473
316,10401,316,10293
317,10565,317,10275
318,10485,318,10356
319,10343,319,10304
320,10389,320,10401
321,10215,321,10173
322,10198,322,10282
323,10511,323,10366
324,10340,324,10566
325,10446,325,10333
326,10260,326,10243
327,10403,327,10288
328,10344,328,10278
329,10432,329,10292
330,10339,330,10417
331,10406,331,10413
332,10117,332,10301
333,10242,333,10224
334,10249,334,10163
335,10348,335,10289
336,10254,336,10080
337,10020,337,10208
338,10151,338,10244
339,10180,339,10153
340,9808,340,9847
341,9812,341,10111
342,9819,342,10108
343,9685,343,9752
344,9316,344,9446
345,9077,345,8956
346,8828,346,8771
347,8555,347,8785
348,8288,348,8486
349,8211,349,8101
350,8334,350,8541
351,8810,351,8720
352,9069,352,9089
353,9366,353,9282
354,9558,354,9530
355,9643,355,9637
356,9872,356,9938
357,9888,357,9981
358,10061,358,9933
359,10182,359,10095
360,10031,360,10280
361,10046,361,10245
362,10025,362,10203
363,10379,363,10219
364,10258,364,10267
365,10184,365,10335
366,10296,366,10175
367,10214,367,10076
368,10403,368,10402
369,10190,369,10261
370,10179,370,10356
371,10469,371,10406
372,10395,372,10293
373,10422,373,10440
374,10259,374,10230
375,10425,375,10462
376,10099,376,10286
377,10274,377,10316
378,10401,378,10473
379,10199,379,10155
380,10397,380,10374
381,10454,381,10311
382,10301,382,10509
383,10144,383,10151
384,10378,384,10188
385,10175,385,10360
386,10449,386,10388
387,10475,387,10330
388,10495,388,10356
389,10373,389,10336
390,10333,390,10322
391,10266,391,10275
392,10091,392,10318
393,10437,393,10392
394,10444,394,10193
395,10376,395,10326
396,10358,396,10348
397,10247,397,10333
398,10386,398,10572
399,10188,399,10361
400,10101,400,10280
401,10375,401,10248
402,10142,402,10170
403,10332,403,10356
404,10072,404,10200
405,10055,405,10226
406,10080,406,10086
407,10033,407,10117
408,10105,408,10248
409,9961,409,10020
410,9950,410,10107
411,9984,411,9852
412,9604,412,9652
413,9649,413,9632
414,9467,414,9367
415,9120,415,9441
416,8803,416,8718
417,8584,417,8709
418,8439,418,8222
419,7980,419,7919
420,7787,420,7793
421,7916,421,7992
422,8173,422,8054
423,8468,423,8390
